replicate,condition,arm,family,branch,nll,parent_nll,utility
0,WEAK_ARITHMETIC,capacity-shadow,ARITHMETIC,0,7.62227800488472,7.76528537273407,0.1430073678493499
0,WEAK_ARITHMETIC,capacity-shadow,ARITHMETIC,1,7.63224583864212,7.76528537273407,0.1330395340919494
0,WEAK_ARITHMETIC,geometry-shadow,STORY,0,5.49721685051918,5.47608345746994,-0.0211333930492401
0,WEAK_ARITHMETIC,geometry-shadow,STORY,1,5.475885421037674,5.47608345746994,0.0001980364322662
0,WEAK_ARITHMETIC,geometry-shadow,ARITHMETIC,0,7.473965972661972,7.76528537273407,0.2913194000720978
0,WEAK_ARITHMETIC,geometry-shadow,ARITHMETIC,1,7.776923656463623,7.76528537273407,-0.0116382837295532
1,STORY_ONLY,parent,STORY,0,5.474664807319641,5.474239647388458,-0.0004251599311828
1,STORY_ONLY,parent,ARITHMETIC,0,7.477976888418198,7.477938115596771,-3.87728214263916e-05
1,STORY_ONLY,capacity-shadow,STORY,0,5.474797070026398,5.474239647388458,-0.0005574226379394
1,STORY_ONLY,capacity-shadow,STORY,1,5.474902004003525,5.474239647388458,-0.0006623566150665
1,STORY_ONLY,capacity-shadow,ARITHMETIC,0,7.473654419183731,7.477938115596771,0.0042836964130401
1,STORY_ONLY,capacity-shadow,ARITHMETIC,1,7.478290617465973,7.477938115596771,-0.0003525018692016
1,STORY_ONLY,geometry-shadow,STORY,0,5.475460857152939,5.474239647388458,-0.0012212097644805
1,STORY_ONLY,geometry-shadow,STORY,1,5.474814057350159,5.474239647388458,-0.0005744099617004
1,STORY_ONLY,geometry-shadow,ARITHMETIC,0,7.495999485254288,7.477938115596771,-0.0180613696575164
1,STORY_ONLY,geometry-shadow,ARITHMETIC,1,7.452838480472565,7.477938115596771,0.0250996351242065
1,DUPLICATED_STORY,parent,STORY,0,5.474291384220123,5.474239647388458,-5.173683166503906e-05
1,DUPLICATED_STORY,parent,ARITHMETIC,0,7.477336347103119,7.477938115596771,0.0006017684936523
1,DUPLICATED_STORY,capacity-shadow,STORY,0,5.474676340818405,5.474239647388458,-0.0004366934299468
1,DUPLICATED_STORY,capacity-shadow,STORY,1,5.474248200654984,5.474239647388458,-8.553266525268555e-06
1,DUPLICATED_STORY,capacity-shadow,ARITHMETIC,0,7.484413951635361,7.477938115596771,-0.0064758360385894
1,DUPLICATED_STORY,capacity-shadow,ARITHMETIC,1,7.472093999385834,7.477938115596771,0.0058441162109375
1,DUPLICATED_STORY,geometry-shadow,STORY,0,5.474884182214737,5.474239647388458,-0.0006445348262786
1,DUPLICATED_STORY,geometry-shadow,STORY,1,5.474674820899963,5.474239647388458,-0.0004351735115051
1,DUPLICATED_STORY,geometry-shadow,ARITHMETIC,0,7.502615123987198,7.477938115596771,-0.0246770083904266
1,DUPLICATED_STORY,geometry-shadow,ARITHMETIC,1,7.452988594770431,7.477938115596771,0.0249495208263397
1,STORY_ARITHMETIC,parent,STORY,0,5.629063785076141,5.474239647388458,-0.1548241376876831
1,STORY_ARITHMETIC,parent,ARITHMETIC,0,6.894394248723984,7.477938115596771,0.5835438668727875
1,STORY_ARITHMETIC,capacity-shadow,STORY,0,5.605603098869324,5.474239647388458,-0.1313634514808654
1,STORY_ARITHMETIC,capacity-shadow,STORY,1,5.603313058614731,5.474239647388458,-0.1290734112262725
1,STORY_ARITHMETIC,capacity-shadow,ARITHMETIC,0,6.929450571537018,7.477938115596771,0.5484875440597534
1,STORY_ARITHMETIC,capacity-shadow,ARITHMETIC,1,6.933498680591583,7.477938115596771,0.544439435005188
1,STORY_ARITHMETIC,geometry-shadow,STORY,0,5.474646061658859,5.474239647388458,-0.000406414270401
1,STORY_ARITHMETIC,geometry-shadow,STORY,1,6.123735040426254,5.474239647388458,-0.649495393037796
1,STORY_ARITHMETIC,geometry-shadow,ARITHMETIC,0,7.494207948446274,7.477938115596771,-0.0162698328495025
1,STORY_ARITHMETIC,geometry-shadow,ARITHMETIC,1,6.644538253545761,7.477938115596771,0.8333998620510101
1,WEAK_ARITHMETIC,parent,STORY,0,5.479144603013992,5.474239647388458,-0.004904955625534
1,WEAK_ARITHMETIC,parent,ARITHMETIC,0,7.348416000604629,7.477938115596771,0.1295221149921417
1,WEAK_ARITHMETIC,capacity-shadow,STORY,0,5.478554159402847,5.474239647388458,-0.004314512014389
1,WEAK_ARITHMETIC,capacity-shadow,STORY,1,5.479243576526642,5.474239647388458,-0.0050039291381835
1,WEAK_ARITHMETIC,capacity-shadow,ARITHMETIC,0,7.356533765792847,7.477938115596771,0.1214043498039245
1,WEAK_ARITHMETIC,capacity-shadow,ARITHMETIC,1,7.348052233457565,7.477938115596771,0.1298858821392059
