replicate,condition,window,parent_prequential_nll,capacity_prequential_nll,geometry_prequential_nll,capacity_net_utility,geometry_net_utility,geometry_advantage
2,DUPLICATED_STORY,0,5.54736964404583,5.547735378146172,5.547029137611389,-0.0050659292824905,-0.0049386183982157,0.0001273108842747
2,DUPLICATED_STORY,1,5.530440226197243,5.530684381723404,5.530200742185116,-0.0050441475752698,-0.0049566971159018,8.745045936798222e-05
2,DUPLICATED_STORY,2,5.548364371061325,5.548576787114143,5.548132225871086,-0.0050382844453991,-0.0049581597071292,8.012473826988706e-05
2,DUPLICATED_STORY,3,5.526495888829231,5.526716232299805,5.526301227509975,-0.0050398703762756,-0.0049647767187071,7.509365756846152e-05
2,STORY_ARITHMETIC,0,6.287198603153229,6.289684258401394,6.215158514678478,-0.0053953517941867,0.0064582174068145,0.0118535692010013
2,STORY_ARITHMETIC,1,6.587623313069344,6.607211537659168,6.291647776961327,-0.0079734888682786,0.0399290316161253,0.047902520484404
2,STORY_ARITHMETIC,2,6.445150703191757,6.455143690109253,6.22385985404253,-0.0065504659825172,0.0293344724336142,0.0358849384161315
2,STORY_ARITHMETIC,3,6.431061923503876,6.439058728516102,6.175499863922596,-0.0062434657148922,0.0347387029733404,0.0409821686882326
2,WEAK_ARITHMETIC,0,5.869162231683731,5.871465712785721,5.862703442573547,-0.0053924718743596,-0.0038995381529382,0.0014929337214213
2,WEAK_ARITHMETIC,1,5.72928985953331,5.7308811992406845,5.722604840993881,-0.0052777551400592,-0.003833185490117,0.0014445696499421
2,WEAK_ARITHMETIC,2,5.718007385730743,5.718074440956116,5.710958831012249,-0.0050117270267155,-0.0037673057687746,0.0012444212579409
2,WEAK_ARITHMETIC,3,5.783166594803333,5.7836683094501495,5.7704397439956665,-0.0050867543133319,-0.0027993283439036,0.0022874259694282
