replicate,arm,step,domain,branch,nll,parent_nll
2,differentiation-fork,0,ARITHMETIC,1,7.795311629772186,7.819498240947723
2,differentiation-fork,50,STORY,0,6.073954492807388,5.398255467414856
2,differentiation-fork,50,STORY,1,5.401694446802139,5.398255467414856
2,differentiation-fork,50,ARITHMETIC,0,6.931719660758972,7.819498240947723
2,differentiation-fork,50,ARITHMETIC,1,7.7973964512348175,7.819498240947723
2,differentiation-fork,100,STORY,0,6.293329417705536,5.398255467414856
2,differentiation-fork,100,STORY,1,5.401650220155716,5.398255467414856
2,differentiation-fork,100,ARITHMETIC,0,6.761593610048294,7.819498240947723
2,differentiation-fork,100,ARITHMETIC,1,7.838275462388992,7.819498240947723
2,differentiation-fork,200,STORY,0,6.081753760576248,5.398255467414856
2,differentiation-fork,200,STORY,1,5.398924320936203,5.398255467414856
2,differentiation-fork,200,ARITHMETIC,0,6.791750431060791,7.819498240947723
2,differentiation-fork,200,ARITHMETIC,1,7.8074632585048676,7.819498240947723
2,differentiation-fork,400,STORY,0,6.324806094169617,5.398255467414856
2,differentiation-fork,400,STORY,1,5.397998362779617,5.398255467414856
2,differentiation-fork,400,ARITHMETIC,0,6.730434358119965,7.819498240947723
2,differentiation-fork,400,ARITHMETIC,1,7.818716943264008,7.819498240947723
