run,topology,variant,random_depth,step_embedding_init_scale,stability_weight,step,consumed_tokens,train_loss,main_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
1d-C,1d,C,True,0.25,0.0,1000,1000000,3.9869384765625,3.9869384765625,0.1917192190885543,0.0001623869018208,1.713510513305664,25.220011020999262,39651.05325161662,25.220011020999262,8.921,0.7434166666666666,4.048271829883258,57.29835013686797,49152,1170816,158716928
1d-C,1d,C,True,0.25,0.0,2000,2000000,4.1695051193237305,4.1695051193237305,0.2548996210098266,0.0,1.7088866233825684,49.772458222995226,40182.86561293422,24.886229111497613,8.952,0.746,3.8833986669778815,48.58907284167962,49152,1170816,158716928
1d-D,1d,D,True,0.25,0.1,250,250000,5.230867862701416,5.21724271774292,0.1362507492303848,0.0002954100398908,2.16935133934021,6.735039093000523,37119.30941274205,26.940156372002093,8.932,0.7443333333333334,5.129097203413646,168.86459882495552,49152,1170816,158716928
1d-D,1d,D,True,0.25,0.1,500,500000,4.299697399139404,4.2848076820373535,0.1488962471485138,0.0002683710764094,1.65980863571167,13.035480471000824,38356.85237013834,26.070960942001648,8.914,0.7428333333333333,4.410718699296315,82.32861176209006,49152,1170816,158716928
1d-D,1d,D,True,0.25,0.1,1000,1000000,3.940582275390625,3.928008317947388,0.125739574432373,0.0001623869018208,1.6956944465637207,25.72268429500025,38876.191478755245,25.72268429500025,8.921,0.7434166666666666,4.0009405215581255,54.64952492609426,49152,1170816,158716928
1d-D,1d,D,True,0.25,0.1,2000,2000000,4.110953330993652,4.093250751495361,0.1770262420177459,0.0,1.685311794281006,51.09512651899706,39142.67634226141,25.54756325949853,8.952,0.746,3.8308342744906745,46.10098306938179,49152,1170816,158716928
1d-E,1d,E,False,0.25,0.0,250,250000,5.174463272094727,5.174463272094727,,0.0002954100398908,1.3026329278945925,7.99814037199917,31257.265860853026,31.99256148799668,12.0,1.0,5.062938590844472,158.05429146075969,49152,1170816,157502464
1d-E,1d,E,False,0.25,0.0,500,500000,4.285094738006592,4.285094738006592,,0.0002683710764094,1.6712709665298462,15.995225839998511,31259.32731438361,31.990451679997022,12.0,1.0,4.402949035167694,81.69142467082177,49152,1170816,157502464
1d-E,1d,E,False,0.25,0.0,1000,1000000,3.964534759521485,3.964534759521485,,0.0001623869018208,2.0110955238342285,30.929044483000663,32332.068989380638,30.929044483000663,12.0,1.0,4.0134276151657104,55.33621713155393,49152,1170816,157502464
1d-E,1d,E,False,0.25,0.0,2000,2000000,4.127145290374756,4.127145290374756,,0.0,1.828481912612915,61.26413095199939,32645.529593278738,30.632065475999696,12.0,1.0,3.852590853969256,47.11497325331851,49152,1170816,157502464
1d-F,1d,F,False,1.0,0.1,250,250000,5.158914089202881,5.151103496551514,0.0781036242842674,0.0002954100398908,1.3927159309387207,8.95726120999916,27910.317019773887,35.82904483999664,12.0,1.0,5.03916722536087,154.3414298635337,49152,1170816,159044608
1d-F,1d,F,False,1.0,0.1,500,500000,4.281968593597412,4.273929595947266,0.0803919211030006,0.0002683710764094,1.7469638586044312,17.117529579999314,29209.822460842508,34.23505915999863,12.0,1.0,4.387514978647232,80.440274601938,49152,1170816,159044608
1d-F,1d,F,False,1.0,0.1,1000,1000000,3.9503462314605713,3.9420783519744873,0.0826797783374786,0.0001623869018208,2.0084211826324463,33.070753916999706,30238.19785027518,33.070753916999706,12.0,1.0,3.9939340502023697,54.26796285787057,49152,1170816,159044608
1d-F,1d,F,False,1.0,0.1,2000,2000000,4.106130123138428,4.097651481628418,0.0847851037979126,0.0,1.863905668258667,64.64094111799898,30940.143590253345,32.32047055899949,12.0,1.0,3.830707376201948,46.09513330469208,49152,1170816,159044608
1d-G,1d,G,False,0.25,0.1,250,250000,5.149236679077148,5.140023708343506,0.0921317189931869,0.0002954100398908,1.4765403270721436,8.719877338000288,28670.12806596796,34.87950935200115,12.0,1.0,5.026453336079915,152.39157141997367,49152,1170816,159044608
1d-G,1d,G,False,0.25,0.1,500,500000,4.268782615661621,4.259805202484131,0.0897753685712814,0.0002683710764094,1.762806057929993,16.992448801000933,29424.834869624425,33.984897602001865,12.0,1.0,4.375116288661957,79.44907804206433,49152,1170816,159044608
1d-G,1d,G,False,0.25,0.1,1000,1000000,3.937530279159546,3.9286391735076895,0.088910661637783,0.0001623869018208,2.096922874450684,33.5015792719995,29849.33909774804,33.5015792719995,12.0,1.0,3.982338895400365,53.642351467516896,49152,1170816,159044608
1d-G,1d,G,False,0.25,0.1,2000,2000000,4.088050365447998,4.07892370223999,0.0912676081061363,0.0,1.8910579681396484,65.81499347299655,30388.212388421594,32.907496736498274,12.0,1.0,3.818272948265076,45.52551546662339,49152,1170816,159044608
1d-H,1d,H,True,1.0,0.1,250,250000,5.264044284820557,5.250949859619141,0.1309450566768646,0.0002954100398908,2.3951704502105717,6.943181154999252,36006.55008403377,27.772724619997007,8.932,0.7443333333333334,5.177727450927098,177.27947655820358,49152,1170816,158716928
1d-H,1d,H,True,1.0,0.1,500,500000,4.308568000793457,4.29360294342041,0.1496494114398956,0.0002683710764094,1.521744966506958,13.013971175998904,38420.24799640928,26.027942351997808,8.914,0.7428333333333333,4.421576897303264,83.22742303478677,49152,1170816,158716928
1d-H,1d,H,True,1.0,0.1,1000,1000000,3.9491913318634033,3.9370980262756343,0.1209338009357452,0.0001623869018208,1.7016067504882812,25.92979580799852,38565.67199389714,25.92979580799852,8.921,0.7434166666666666,4.010859409968059,55.1942847049079,49152,1170816,158716928
1d-H,1d,H,True,1.0,0.1,2000,2000000,4.119454383850098,4.101764678955078,0.1768971979618072,0.0,1.678769826889038,51.43309701099918,38885.46706748559,25.71654850549959,8.952,0.746,3.8387568990389513,46.46767451081664,49152,1170816,158716928
2d-A,2d,A,False,1.0,0.0,250,250000,5.266005516052246,5.266005516052246,,0.0002954100398908,1.6930910348892212,12.120458281000596,20626.28278601372,48.48183312400238,12.0,1.0,5.130696564912796,169.13489045228056,49152,1173632,486587904
2d-A,2d,A,False,1.0,0.0,500,500000,4.361454010009766,4.361454010009766,,0.0002683710764094,2.720073938369751,22.76247107400178,21965.980687003543,45.52494214800356,12.0,1.0,4.441201289494832,84.87684211439581,49152,1173632,486587904
2d-A,2d,A,False,1.0,0.0,1000,1000000,3.960211992263794,3.960211992263794,,0.0001623869018208,2.275674343109131,43.54571607800296,22964.371471322487,43.54571607800296,12.0,1.0,4.024029731750488,55.92601920741963,49152,1173632,486587904
2d-A,2d,A,False,1.0,0.0,2000,2000000,4.120298862457275,4.120298862457275,,0.0,2.220062732696533,85.14459163700388,23489.45436871176,42.57229581850194,12.0,1.0,3.863102937738101,47.61286213888017,49152,1173632,486587904
2d-B,2d,B,True,1.0,0.0,250,250000,5.3446784019470215,5.3446784019470215,0.246503472328186,0.0002954100398908,2.791759967803955,9.355935290999753,26721.005674386783,37.42374116399901,8.932,0.7443333333333334,5.229663958152135,186.7300438668308,49152,1173632,492533248
2d-B,2d,B,True,1.0,0.0,500,500000,4.406940460205078,4.406940460205078,0.2070818245410919,0.0002683710764094,2.213766098022461,17.976043570999593,27814.79684476513,35.952087141999186,8.914,0.7428333333333333,4.492457191149394,89.34070357540955,49152,1173632,492533248
2d-B,2d,B,True,1.0,0.0,1000,1000000,3.9858338832855225,3.9858338832855225,0.2041278779506683,0.0001623869018208,1.6498786211013794,35.07243814699899,28512.41752309045,35.07243814699899,8.921,0.7434166666666666,4.0598863661289215,57.96772360785529,49152,1173632,492533248
2d-B,2d,B,True,1.0,0.0,2000,2000000,4.155200481414795,4.155200481414795,0.3221715092658996,0.0,2.1611053943634038,69.02677329499994,28974.264687885578,34.51338664749997,8.952,0.746,3.893350392580032,49.07503201739963,49152,1173632,492533248
2d-C,2d,C,True,0.25,0.0,250,250000,5.357648849487305,5.357648849487305,0.2327610850334167,0.0002954100398908,3.998220443725586,9.06404253299968,27581.512232518653,36.25617013199872,8.932,0.7443333333333334,5.216590811808904,184.304782118676,49152,1173632,492533248
2d-C,2d,C,True,0.25,0.0,500,500000,4.392149925231934,4.392149925231934,0.2040483802556991,0.0002683710764094,2.1639111042022705,17.213627385999587,29046.75399251796,34.42725477199917,8.914,0.7428333333333333,4.479776193698247,88.21492740951346,49152,1173632,492533248
2d-C,2d,C,True,0.25,0.0,1000,1000000,3.975286960601807,3.975286960601807,0.2179887294769287,0.0001623869018208,1.699715256690979,33.45978470399973,29886.62386343632,33.45978470399973,8.921,0.7434166666666666,4.053119083245595,57.57676398332098,49152,1173632,492533248
2d-C,2d,C,True,0.25,0.0,2000,2000000,4.143701076507568,4.143701076507568,0.3115340173244476,0.0,2.235968351364136,66.01636872299923,30295.51668301965,33.008184361499616,8.952,0.746,3.886796702941259,48.75446109710273,49152,1173632,492533248
2d-D,2d,D,True,0.25,0.1,250,250000,5.287566184997559,5.276139259338379,0.114267848432064,0.0002954100398908,2.432558059692383,9.135604729999612,27365.45717428501,36.54241891999845,8.932,0.7443333333333334,5.170913477738698,176.0756051896945,49152,1173632,492533248
2d-D,2d,D,True,0.25,0.1,500,500000,4.3450927734375,4.332617282867432,0.1247555166482925,0.0002683710764094,2.40700912475586,17.971603391000258,27821.66894749012,35.94320678200052,8.914,0.7428333333333333,4.428585310777028,83.8127639875914,49152,1173632,492533248
2d-D,2d,D,True,0.25,0.1,1000,1000000,3.948488235473633,3.9370274543762207,0.1146077737212181,0.0001623869018208,1.7786701917648315,34.879066750001016,28670.4918789139,34.879066750001016,8.921,0.7434166666666666,4.009977892041206,55.14565139219855,49152,1173632,492533248
2d-D,2d,D,True,0.25,0.1,2000,2000000,4.090043544769287,4.075186729431152,0.1485690772533416,0.0,2.1929192543029785,68.07620261500244,29378.84199138989,34.03810130750122,8.952,0.746,3.838899066050848,46.47428115086365,49152,1173632,492533248
2d-E,2d,E,False,0.25,0.0,250,250000,5.265639781951904,5.265639781951904,,0.0002954100398908,2.044651508331299,11.00177270000097,22723.61071411501,44.00709080000388,12.0,1.0,5.132234404484431,169.39519288014915,49152,1173632,486587904
