seed,parent_id,child_id,root_id,transition,candidate,family,rank,offline_oracle_auc,current_cosine_auc,auc,normalized_oracle_excess_recovery,old_fpr,current_tpr,historical_address_state_bytes
73611,2,10,2,A->B,rank-128,low_rank_gaussian,128,0.8751350924939849,0.5088365610907322,0.8570050881552479,0.9516707322202128,0.0638977587223053,0.5432098507881165,200200
73611,2,10,2,A->B,full-covariance,full_covariance_gaussian,,0.8751350924939849,0.5088365610907322,0.8634382518834063,0.9688196576523531,0.10143769532442093,0.6452674865722656,591368
73611,6,11,6,A->B,rank-0,low_rank_gaussian,0,0.8895905753247801,0.5037979504559025,0.5802275478092471,0.20592784551414225,0.39764705300331116,0.5127571821212769,3080
73611,6,11,6,A->B,rank-8,low_rank_gaussian,8,0.8895905753247801,0.5037979504559025,0.8420488985717743,0.8779701569696009,0.22745098173618317,0.7572016716003418,15400
73611,6,11,6,A->B,rank-16,low_rank_gaussian,16,0.8895905753247801,0.5037979504559025,0.8454062777374324,0.8865878684295333,0.21490195393562317,0.7596707940101624,27720
73611,6,11,6,A->B,rank-32,low_rank_gaussian,32,0.8895905753247801,0.5037979504559025,0.8564357298474945,0.9148982352829088,0.19450980424880981,0.758847713470459,52360
73611,6,11,6,A->B,rank-64,low_rank_gaussian,64,0.8895905753247801,0.5037979504559025,0.8747512305333656,0.9619104112591947,0.1349019557237625,0.7119341492652893,101640
73611,6,11,6,A->B,rank-128,low_rank_gaussian,128,0.8895905753247801,0.5037979504559025,0.8782002743484225,0.9707634072850397,0.08784313499927521,0.6320987939834595,200200
73611,6,11,6,A->B,full-covariance,full_covariance_gaussian,,0.8895905753247801,0.5037979504559025,0.8832540950536594,0.9837355401479145,0.1388235241174698,0.7193415760993958,591368
73611,8,12,4,B->C,rank-0,low_rank_gaussian,0,0.9880346365160243,0.8354112552056869,0.8465479825440316,0.7100889088896726,0.32038065791130066,0.8585329651832581,3080
73611,8,12,4,B->C,rank-8,low_rank_gaussian,8,0.9880346365160243,0.8354112552056869,0.9726472906684648,0.9684707914229069,0.15939730405807495,0.953592836856842,15400
73611,8,12,4,B->C,rank-16,low_rank_gaussian,16,0.9880346365160243,0.8354112552056869,0.980119855451666,0.9837823374159256,0.13084852695465088,0.9588323831558228,27720
73611,8,12,4,B->C,rank-32,low_rank_gaussian,32,0.9880346365160243,0.8354112552056869,0.9783515839059391,0.9801590873155839,0.10705789178609848,0.9513473510742188,52360
73611,8,12,4,B->C,rank-64,low_rank_gaussian,64,0.9880346365160243,0.8354112552056869,0.9794532663459757,0.9824164730779988,0.0904044434428215,0.9483533501625061,101640
73611,8,12,4,B->C,rank-128,low_rank_gaussian,128,0.9880346365160243,0.8354112552056869,0.9787979552394023,0.9810737177538038,0.08009516447782516,0.9446108341217041,200200
73611,8,12,4,B->C,full-covariance,full_covariance_gaussian,,0.9880346365160243,0.8354112552056869,0.9811491212657951,0.985891338984906,0.11102299392223358,0.9565868377685547,591368
73611,0,13,0,A+B->C,rank-0,low_rank_gaussian,0,0.9401049083217258,0.5228590495078215,0.6494797950507712,0.3396458258572714,0.37020766735076904,0.5623986721038818,3080
73611,0,13,0,A+B->C,rank-8,low_rank_gaussian,8,0.9401049083217258,0.5228590495078215,0.9301513041046805,0.9773835646255302,0.24041533470153809,0.9149108529090881,15400
73611,0,13,0,A+B->C,rank-16,low_rank_gaussian,16,0.9401049083217258,0.5228590495078215,0.9332387466924881,0.9843988069675915,0.20766772329807281,0.917341947555542,27720
73611,0,13,0,A+B->C,rank-32,low_rank_gaussian,32,0.9401049083217258,0.5228590495078215,0.9386909631785254,0.9967872543194479,0.17811501026153564,0.9043759703636169,52360
73611,0,13,0,A+B->C,rank-64,low_rank_gaussian,64,0.9401049083217258,0.5228590495078215,0.9437140445627353,1.008200627106779,0.11661341786384583,0.8922204375267029,101640
73611,0,13,0,A+B->C,rank-128,low_rank_gaussian,128,0.9401049083217258,0.5228590495078215,0.9438839509944542,1.0085866860406971,0.09305111318826675,0.8776336908340454,200200
73611,0,13,0,A+B->C,full-covariance,full_covariance_gaussian,,0.9401049083217258,0.5228590495078215,0.9455545357573749,1.0123825645490536,0.12380191683769226,0.8962723016738892,591368
73611,1,14,1,A+B->C,rank-0,low_rank_gaussian,0,0.9276022064434356,0.5863671930573339,0.6271437162922439,0.2973411137181837,0.38966941833496094,0.5829420685768127,3080
73611,1,14,1,A+B->C,rank-8,low_rank_gaussian,8,0.9276022064434356,0.5863671930573339,0.9341837064628358,1.0153916418583093,0.24462810158729553,0.9154929518699646,15400
73611,1,14,1,A+B->C,rank-16,low_rank_gaussian,16,0.9276022064434356,0.5863671930573339,0.9332059390318033,1.0131050132668316,0.22892561554908752,0.9217527508735657,27720
73611,1,14,1,A+B->C,rank-32,low_rank_gaussian,32,0.9276022064434356,0.5863671930573339,0.9456563069879331,1.0422217197957462,0.19586776196956635,0.928012490272522,52360
73611,1,14,1,A+B->C,rank-64,low_rank_gaussian,64,0.9276022064434356,0.5863671930573339,0.9524622020460689,1.0581381368665175,0.14214876294136047,0.9123630523681641,101640
73611,1,14,1,A+B->C,rank-128,low_rank_gaussian,128,0.9276022064434356,0.5863671930573339,0.9530927068379053,1.059612649351101,0.11115702241659164,0.8904538154602051,200200
73611,1,14,1,A+B->C,full-covariance,full_covariance_gaussian,,0.9276022064434356,0.5863671930573339,0.9560418525847463,1.0665095869777106,0.13760331273078918,0.9186228513717651,591368
73611,3,15,3,A+B->C,rank-0,low_rank_gaussian,0,0.9545944246581642,0.5204197351501569,0.6479211700317343,0.32539151825930285,0.554391622543335,0.7404221892356873,3080
73611,3,15,3,A+B->C,rank-8,low_rank_gaussian,8,0.9545944246581642,0.5204197351501569,0.9471481610519903,0.9836199847550413,0.21676068007946014,0.9280688166618347,15400
73611,3,15,3,A+B->C,rank-16,low_rank_gaussian,16,0.9545944246581642,0.5204197351501569,0.9441673560188478,0.977062920102557,0.2336825132369995,0.9405785799026489,27720
73611,3,15,3,A+B->C,rank-32,low_rank_gaussian,32,0.9545944246581642,0.5204197351501569,0.9608055245618334,1.0136629478206638,0.1398066133260727,0.9225957989692688,52360
73611,3,15,3,A+B->C,rank-64,low_rank_gaussian,64,0.9545944246581642,0.5204197351501569,0.9666622354919454,1.0265463238860786,0.10354552417993546,0.9179046154022217,101640
73611,3,15,3,A+B->C,rank-128,low_rank_gaussian,128,0.9545944246581642,0.5204197351501569,0.9663217070649096,1.0257972420483683,0.07937147468328476,0.899139940738678,200200
73611,3,15,3,A+B->C,full-covariance,full_covariance_gaussian,,0.9545944246581642,0.5204197351501569,0.9679547314550613,1.029389508696556,0.10556003451347351,0.9210320711135864,591368
73612,4,8,4,A->B,rank-0,low_rank_gaussian,0,0.9014995674912352,0.5254302927304905,0.6037452508092346,0.2583944273152906,0.620581328868866,0.7377431988716125,3080
73612,4,8,4,A->B,rank-8,low_rank_gaussian,8,0.9014995674912352,0.5254302927304905,0.8358340388982795,0.8364493167370867,0.19874313473701477,0.7097276449203491,15400
73612,4,8,4,A->B,rank-16,low_rank_gaussian,16,0.9014995674912352,0.5254302927304905,0.8538117318384526,0.8812256861177725,0.17753338813781738,0.7112840414047241,27720
73612,4,8,4,A->B,rank-32,low_rank_gaussian,32,0.9014995674912352,0.5254302927304905,0.8753320230712096,0.9348254729549695,0.12097407877445221,0.6824902892112732,52360
73612,4,8,4,A->B,rank-64,low_rank_gaussian,64,0.9014995674912352,0.5254302927304905,0.8813608590265954,0.9498412698412698,0.08798114955425262,0.6552529335021973,101640
73612,4,8,4,A->B,rank-128,low_rank_gaussian,128,0.9014995674912352,0.5254302927304905,0.8771996050874035,0.9394769898367022,0.0675569549202919,0.5852140188217163,200200
73612,4,8,4,A->B,full-covariance,full_covariance_gaussian,,0.9014995674912352,0.5254302927304905,0.8874434911251646,0.9649910547752274,0.11783189326524734,0.7330739498138428,591368
73612,5,9,5,A->B,rank-0,low_rank_gaussian,0,0.9034911885074751,0.48452638227678946,0.5869501952309363,0.21549465690333267,0.49348533153533936,0.6049679517745972,3080
73612,5,9,5,A->B,rank-8,low_rank_gaussian,8,0.9034911885074751,0.48452638227678946,0.8534991491272029,0.8761012859656387,0.20521171391010284,0.745192289352417,15400
73612,5,9,5,A->B,rank-16,low_rank_gaussian,16,0.9034911885074751,0.48452638227678946,0.8569626712185752,0.8846851712895882,0.17833875119686127,0.7323718070983887,27720
73612,5,9,5,A->B,rank-32,low_rank_gaussian,32,0.9034911885074751,0.48452638227678946,0.8655784107992984,0.9060381520389155,0.15879477560520172,0.7035256624221802,52360
73612,5,9,5,A->B,rank-64,low_rank_gaussian,64,0.9034911885074751,0.48452638227678946,0.8826448049778669,0.9483349720554752,0.09609120339155197,0.6810897588729858,101640
73612,5,9,5,A->B,rank-128,low_rank_gaussian,128,0.9034911885074751,0.48452638227678946,0.8842532416687547,0.9523212714758851,0.06351791322231293,0.6153846383094788,200200
73612,5,9,5,A->B,full-covariance,full_covariance_gaussian,,0.9034911885074751,0.48452638227678946,0.8914634751106657,0.9701908895673775,0.10423452407121658,0.7155448794364929,591368
73612,2,10,2,A->B,rank-0,low_rank_gaussian,0,0.8915201279565828,0.5005513636278319,0.5950956456685946,0.2428882677499027,0.31478404998779297,0.45117029547691345,3080
73612,2,10,2,A->B,rank-8,low_rank_gaussian,8,0.8915201279565828,0.5005513636278319,0.8386408367051984,0.8649385115207964,0.2184385359287262,0.7409200668334961,15400
73612,2,10,2,A->B,rank-16,low_rank_gaussian,16,0.8915201279565828,0.5005513636278319,0.8560431464663122,0.9093865705565851,0.17358803749084473,0.7497981786727905,27720
73612,2,10,2,A->B,rank-32,low_rank_gaussian,32,0.8915201279565828,0.5005513636278319,0.8684500012066316,0.9410755026303285,0.1544850468635559,0.746569812297821,52360
73612,2,10,2,A->B,rank-64,low_rank_gaussian,64,0.8915201279565828,0.5005513636278319,0.8743490892612464,0.9561426412865279,0.10963454842567444,0.70460045337677,101640
73612,2,10,2,A->B,rank-128,low_rank_gaussian,128,0.8915201279565828,0.5005513636278319,0.8830227597542761,0.9782964716356832,0.06229235604405403,0.6158192157745361,200200
73612,2,10,2,A->B,full-covariance,full_covariance_gaussian,,0.8915201279565828,0.5005513636278319,0.8867619771598036,0.9878469829338972,0.09800664335489273,0.7207425236701965,591368
