run,task,receiver,source,mean_weight
r0-E,REVERSE_SWAP,7,1,0.0009795248042792
r0-E,REVERSE_SWAP,7,2,0.0008971049683168
r0-E,REVERSE_SWAP,7,3,0.0009948688093572
r0-E,REVERSE_SWAP,7,4,0.0008794231107458
r0-E,REVERSE_SWAP,7,5,0.0008290654513984
r0-E,REVERSE_SWAP,7,6,0.0
r0-E,REVERSE_SWAP,7,7,0.0
r0-E,ROTATE_INC,0,0,0.0
r0-E,ROTATE_INC,0,1,0.0
r0-E,ROTATE_INC,0,2,0.0004721928853541
r0-E,ROTATE_INC,0,3,0.003040739800781
r0-E,ROTATE_INC,0,4,0.0007156445062719
r0-E,ROTATE_INC,0,5,0.0005846636486239
r0-E,ROTATE_INC,0,6,0.0004341580206528
r0-E,ROTATE_INC,0,7,0.0010543504031375
r0-E,ROTATE_INC,1,0,0.0
r0-E,ROTATE_INC,1,1,0.0
r0-E,ROTATE_INC,1,2,0.0
r0-E,ROTATE_INC,1,3,0.0006832336075603
r0-E,ROTATE_INC,1,4,0.0002425788115942
r0-E,ROTATE_INC,1,5,0.0002943866420537
r0-E,ROTATE_INC,1,6,0.0001805821812013
r0-E,ROTATE_INC,1,7,0.0001870661071734
r0-E,ROTATE_INC,2,0,0.0013507473049685
r0-E,ROTATE_INC,2,1,0.0
r0-E,ROTATE_INC,2,2,0.0
r0-E,ROTATE_INC,2,3,0.0
r0-E,ROTATE_INC,2,4,0.0005905087455175
r0-E,ROTATE_INC,2,5,0.00048948766198
r0-E,ROTATE_INC,2,6,0.0006075432756915
r0-E,ROTATE_INC,2,7,0.0003984903160016
r0-E,ROTATE_INC,3,0,0.0068694432266056
r0-E,ROTATE_INC,3,1,0.0014897275250405
r0-E,ROTATE_INC,3,2,0.0
r0-E,ROTATE_INC,3,3,0.0
r0-E,ROTATE_INC,3,4,0.0
r0-E,ROTATE_INC,3,5,0.0010480966884642
r0-E,ROTATE_INC,3,6,0.0009760621469467
r0-E,ROTATE_INC,3,7,0.0008840914815664
r0-E,ROTATE_INC,4,0,0.0022778753191232
r0-E,ROTATE_INC,4,1,0.0008142951410263
r0-E,ROTATE_INC,4,2,0.0008855527848936
r0-E,ROTATE_INC,4,3,0.0
r0-E,ROTATE_INC,4,4,0.0
r0-E,ROTATE_INC,4,5,0.0
r0-E,ROTATE_INC,4,6,0.0008435808704234
r0-E,ROTATE_INC,4,7,0.0005700401961803
r0-E,ROTATE_INC,5,0,0.0009820220293477
r0-E,ROTATE_INC,5,1,0.0005339512135833
r0-E,ROTATE_INC,5,2,0.0004609221650753
r0-E,ROTATE_INC,5,3,0.0005276344600133
r0-E,ROTATE_INC,5,4,0.0
r0-E,ROTATE_INC,5,5,0.0
r0-E,ROTATE_INC,5,6,0.0
r0-E,ROTATE_INC,5,7,0.0003386788303032
r0-E,ROTATE_INC,6,0,0.0008210114319808
r0-E,ROTATE_INC,6,1,0.000349005422322
r0-E,ROTATE_INC,6,2,0.0004521247465163
r0-E,ROTATE_INC,6,3,0.0003368084435351
r0-E,ROTATE_INC,6,4,0.0004172246262896
r0-E,ROTATE_INC,6,5,0.0
r0-E,ROTATE_INC,6,6,0.0
r0-E,ROTATE_INC,6,7,0.0
r0-E,ROTATE_INC,7,0,0.0044324276968836
r0-E,ROTATE_INC,7,1,0.0010799439623951
r0-E,ROTATE_INC,7,2,0.0009697723435238
r0-E,ROTATE_INC,7,3,0.0010854685679078
r0-E,ROTATE_INC,7,4,0.0009431466460227
