arm,step,cell_id,certificate_rank,update_norm,violation_norm,violation_ratio,eligible_for_ratio
sgd_with_decay_grad_projection,11,2,60,2.9155577067285776e-05,9.492579010839108e-06,0.3255836323646872,True
sgd_with_decay_grad_projection,11,3,49,2.7297619453747757e-05,9.370880434289575e-06,0.34328561532194,True
sgd_with_decay_grad_projection,11,4,60,3.0527255148626864e-05,1.1804746463894844e-05,0.38669529965030375,True
sgd_with_decay_grad_projection,11,5,53,3.33346652041655e-05,9.059650437848177e-06,0.27177864576055305,True
sgd_with_decay_grad_projection,11,6,60,3.262005338910967e-05,9.340059477835894e-06,0.28632875244236583,True
sgd_with_decay_grad_projection,11,7,53,2.5327433831989765e-05,1.0945324902422726e-05,0.4321529193551909,True
sgd_with_decay_grad_projection,12,0,58,3.215686228941195e-05,1.1058637028327212e-05,0.34389663347445976,True
sgd_with_decay_grad_projection,12,1,60,3.730316166183911e-05,1.1459786037448794e-05,0.30720682161279794,True
sgd_with_decay_grad_projection,12,2,60,3.273278707638383e-05,1.035487002809532e-05,0.3163454944299776,True
sgd_with_decay_grad_projection,12,3,49,3.0454581064986996e-05,1.0224317520624027e-05,0.33572345530161496,True
sgd_with_decay_grad_projection,12,4,60,3.585787635529414e-05,1.287831946683582e-05,0.3591489629804993,True
sgd_with_decay_grad_projection,12,5,53,4.667532630264759e-05,9.882841368380468e-06,0.2117358771648052,True
sgd_with_decay_grad_projection,12,6,60,3.522071347106248e-05,1.0189341992372647e-05,0.28929969608493494,True
sgd_with_decay_grad_projection,12,7,53,2.794899592117872e-05,1.1938792340515647e-05,0.42716353557106984,True
sgd_with_decay_grad_projection,13,0,58,3.689404547913e-05,1.1978687325608917e-05,0.32467805699721625,True
sgd_with_decay_grad_projection,13,1,60,4.238639667164534e-05,1.2413485819706693e-05,0.2928648458373422,True
sgd_with_decay_grad_projection,13,2,60,3.5611541534308344e-05,1.1219096450076904e-05,0.3150410134373811,True
sgd_with_decay_grad_projection,13,3,49,3.312942135380581e-05,1.1075381735281553e-05,0.3343065151273078,True
sgd_with_decay_grad_projection,13,4,60,3.6815756175201386e-05,1.3950462744105607e-05,0.3789264112569293,True
sgd_with_decay_grad_projection,13,5,53,5.602583405561745e-05,1.070812049874803e-05,0.19112826231180602,True
sgd_with_decay_grad_projection,13,6,60,3.62595783371944e-05,1.103819886338897e-05,0.3044215918982323,True
sgd_with_decay_grad_projection,13,7,53,3.0758019420318305e-05,1.2934267942910083e-05,0.4205169177391498,True
sgd_with_decay_grad_projection,14,0,58,3.987101808888838e-05,1.2900803085358348e-05,0.32356341473483086,True
sgd_with_decay_grad_projection,14,1,60,4.7058147174539044e-05,1.3371100976655725e-05,0.28413997352939185,True
sgd_with_decay_grad_projection,14,2,60,3.949981328332797e-05,1.2083527508366387e-05,0.305913527129331,True
sgd_with_decay_grad_projection,14,3,49,3.637760164565407e-05,1.1927579180337489e-05,0.32788249672528774,True
sgd_with_decay_grad_projection,14,4,60,4.2338248022133484e-05,1.502204941061791e-05,0.3548103607866428,True
sgd_with_decay_grad_projection,14,5,53,6.045816917321645e-05,1.1531431482580956e-05,0.19073404718572662,True
sgd_with_decay_grad_projection,14,6,60,4.220279515720904e-05,1.1887377695529722e-05,0.28167275104825323,True
sgd_with_decay_grad_projection,14,7,53,3.245461994083598e-05,1.3930201930634212e-05,0.4292209098984284,True
sgd_with_decay_grad_projection,15,0,58,3.989596734754741e-05,1.3821522770740557e-05,0.3464390850307617,True
sgd_with_decay_grad_projection,15,1,60,4.521604205365293e-05,1.4322593415272422e-05,0.31675910690100345,True
sgd_with_decay_grad_projection,15,2,60,4.0348553739022464e-05,1.2945128219143953e-05,0.3208325131562712,True
sgd_with_decay_grad_projection,15,3,49,3.815642776316963e-05,1.2780181350535713e-05,0.3349417585660359,True
sgd_with_decay_grad_projection,15,4,60,4.301917215343565e-05,1.6097013940452598e-05,0.3741823182663156,True
sgd_with_decay_grad_projection,15,5,53,4.913980592391454e-05,1.2354096725175623e-05,0.25140710756768025,True
sgd_with_decay_grad_projection,15,6,60,4.434006041265093e-05,1.2736715689243283e-05,0.28725074534085543,True
sgd_with_decay_grad_projection,15,7,53,3.568653846741654e-05,1.4924359675205778e-05,0.41820697377599214,True
sgd_with_decay_grad_projection,16,0,58,4.384042040328495e-05,1.4742317944183014e-05,0.33627226820129,True
sgd_with_decay_grad_projection,16,1,60,4.8330901336157694e-05,1.5278332284651697e-05,0.316119326272573,True
sgd_with_decay_grad_projection,16,2,60,4.4417232857085764e-05,1.3806521565129515e-05,0.3108370415310542,True
sgd_with_decay_grad_projection,16,3,49,4.0191964217228815e-05,1.3631657566293143e-05,0.33916374809285893,True
sgd_with_decay_grad_projection,16,4,60,4.925509711029008e-05,1.717071791063063e-05,0.34860793236433374,True
sgd_with_decay_grad_projection,16,5,53,6.87835126882419e-05,1.3177776963857468e-05,0.1915833643449088,True
sgd_with_decay_grad_projection,16,6,60,4.477386755752377e-05,1.3586406566901132e-05,0.30344500050170625,True
sgd_with_decay_grad_projection,16,7,53,3.753988130483776e-05,1.5918692952254787e-05,0.42404749229070826,True
sgd_with_decay_grad_projection,17,0,58,4.445103695616126e-05,1.5664059901610017e-05,0.3523890694534132,True
sgd_with_decay_grad_projection,17,1,60,5.392346793087199e-05,1.6233007045229897e-05,0.3010378851190016,True
sgd_with_decay_grad_projection,17,2,60,4.700444333138876e-05,1.4670504242531024e-05,0.31210887504810503,True
sgd_with_decay_grad_projection,17,3,49,4.18621493736282e-05,1.448275816073874e-05,0.3459630724049572,True
sgd_with_decay_grad_projection,17,4,60,5.661531031364575e-05,1.8242815713165328e-05,0.3222240643012827,True
sgd_with_decay_grad_projection,17,5,53,8.652629185235128e-05,1.3999561815580819e-05,0.16179546533294467,True
sgd_with_decay_grad_projection,17,6,60,4.9590857088332996e-05,1.4435082448471803e-05,0.29108353847718305,True
