replicate,input_family,candidate_family,candidate_kind,matching_family,full_value,best_value,best_recruitment,min_small_value,first_positive_recruitment,full_beneficial,activation_barrier,nonmonotonic
1,LOOKUP,RANDOM,untrained-control,0,-0.008996365591883635,0.0,0.0,-0.0013167541474103516,,0,0,1
1,LOOKUP,REVERSE_INC,trained,0,1.880957119166851,1.880957119166851,1.0,-0.004184287041425695,0.003,1,0,1
1,MOD_ADD,DELAY_COPY,trained,0,1.260808989405632,1.260808989405632,1.0,0.0005166400223970248,0.0001,1,0,0
1,MOD_ADD,LOCAL_RULE,trained,0,1.144299602136016,1.144299602136016,1.0,0.0003770217299461301,0.0001,1,0,0
1,MOD_ADD,LOOKUP,trained,0,0.8601185828447342,0.8601185828447342,1.0,0.00018500536680221124,0.0001,1,0,0
1,MOD_ADD,MOD_ADD,trained,1,1.2594917006790638,1.2594917006790638,1.0,0.0005652382969856107,0.0001,1,0,0
1,MOD_ADD,PARITY,trained,0,0.3405928537249565,0.9975080713629723,0.5,0.0005071759223937897,0.0001,1,0,1
1,MOD_ADD,RANDOM,untrained-control,0,-0.004988413304090461,0.0,0.0,-6.598420441149695e-05,,0,0,0
1,MOD_ADD,REVERSE_INC,trained,0,1.2588631995022297,1.2588631995022297,1.0,0.0005539897829294045,0.0001,1,0,0
1,PARITY,DELAY_COPY,trained,0,4.854769341647625,4.854769341647625,1.0,0.0008925348520278464,0.0001,1,0,0
1,PARITY,LOCAL_RULE,trained,0,4.736504886299372,4.736504886299372,1.0,0.00042888149619099377,0.0001,1,0,0
1,PARITY,LOOKUP,trained,0,5.741183917969465,5.741183917969465,1.0,7.168948650358356e-05,0.0001,1,0,0
1,PARITY,MOD_ADD,trained,0,4.554001320153475,4.554001320153475,1.0,0.0009828582406043531,0.0001,1,0,0
1,PARITY,PARITY,trained,1,5.964586511254311,5.964586511254311,1.0,0.0008135810494422508,0.0001,1,0,0
1,PARITY,RANDOM,untrained-control,0,-0.025426644831895783,0.0,0.0,-0.0006005167961120172,,0,0,0
1,PARITY,REVERSE_INC,trained,0,4.5788614600896835,4.5788614600896835,1.0,0.0009604468941688121,0.0001,1,0,0
1,REVERSE_INC,DELAY_COPY,trained,0,1.0916687175631523,1.0916687175631523,1.0,0.0003030169755220254,0.0001,1,0,0
1,REVERSE_INC,LOCAL_RULE,trained,0,0.9966309275478125,0.9966309275478125,1.0,-3.087893128396254e-05,0.0003,1,0,1
1,REVERSE_INC,LOOKUP,trained,0,0.6975359134376049,0.6975359134376049,1.0,-0.00011308677494526527,0.001,1,0,1
1,REVERSE_INC,MOD_ADD,trained,0,1.093953212723136,1.093953212723136,1.0,0.00032506324350832294,0.0001,1,0,0
1,REVERSE_INC,PARITY,trained,0,0.17120168916881084,0.8775311969220638,0.5,9.047240018843664e-05,0.0001,1,0,1
1,REVERSE_INC,RANDOM,untrained-control,0,-0.004459707066416708,0.0,0.0,-0.00013925507664679218,,0,0,0
1,REVERSE_INC,REVERSE_INC,trained,1,1.0929321683943272,1.0929321683943272,1.0,0.0003153160214423977,0.0001,1,0,0
2,DELAY_COPY,DELAY_COPY,trained,1,0.8518007360398769,0.8518007360398769,1.0,0.00018928945064540918,0.0001,1,0,0
2,DELAY_COPY,LOCAL_RULE,trained,0,0.8303284160792828,0.8303284160792828,1.0,0.00020797178149219167,0.0001,1,0,0
2,DELAY_COPY,LOOKUP,trained,0,0.37449473701417446,0.37449473701417446,1.0,5.6143850088116376e-05,0.0001,1,0,0
