replicate,input_family,candidate_family,candidate_kind,matching_family,recruitment,mean_value,median_value,positive_fraction,mean_loss
1,MOD_ADD,MOD_ADD,trained,1,0.1,0.38856914453208447,0.3415660858154297,1.0,8.037672314792871
1,MOD_ADD,MOD_ADD,trained,1,0.25,0.8230557553470135,0.7233550548553467,0.99609375,7.6031857039779425
1,MOD_ADD,MOD_ADD,trained,1,0.5,1.1054671555757523,0.9648833274841307,0.98828125,7.320774303749204
1,MOD_ADD,MOD_ADD,trained,1,1.0,1.2594917006790638,1.1157662868499756,0.96875,7.166749758645892
1,MOD_ADD,PARITY,trained,0,0.0,0.0,0.0,0.0,8.426241459324956
1,MOD_ADD,PARITY,trained,0,0.0001,0.0005071759223937897,0.0005245208740234,0.609375,8.425734283402562
1,MOD_ADD,PARITY,trained,0,0.0003,0.0013797618448734156,0.0013771057128906,0.65234375,8.424861697480083
1,MOD_ADD,PARITY,trained,0,0.001,0.004722665995359394,0.00484085083007805,0.75,8.421518793329597
1,MOD_ADD,PARITY,trained,0,0.003,0.014585329219698868,0.015045642852783151,0.8984375,8.411656130105257
1,MOD_ADD,PARITY,trained,0,0.01,0.048512879759073216,0.05079555511474605,1.0,8.377728579565883
1,MOD_ADD,PARITY,trained,0,0.02,0.09532164782285686,0.0951266288757324,1.0,8.330919811502099
1,MOD_ADD,PARITY,trained,0,0.05,0.2230522073805332,0.21879529953002924,1.0,8.203189251944423
1,MOD_ADD,PARITY,trained,0,0.1,0.3405749164521694,0.31885671615600586,0.9921875,8.085666542872787
1,MOD_ADD,PARITY,trained,0,0.25,0.6730677261948586,0.6001026630401611,0.9921875,7.753173733130097
1,MOD_ADD,PARITY,trained,0,0.5,0.9975080713629723,0.8619637489318848,0.9765625,7.428733387961984
1,MOD_ADD,PARITY,trained,0,1.0,0.3405928537249565,0.11503624916076655,0.55859375,8.0856486056
1,MOD_ADD,RANDOM,untrained-control,0,0.0,0.0,0.0,0.0,8.426241459324956
1,MOD_ADD,RANDOM,untrained-control,0,0.0001,-3.632158041000366e-07,-9.5367431640625e-07,0.3125,8.42624182254076
1,MOD_ADD,RANDOM,untrained-control,0,0.0003,-1.0319054126739502e-06,-2.86102294921875e-06,0.33203125,8.426242491230369
1,MOD_ADD,RANDOM,untrained-control,0,0.001,-3.300607204437842e-06,-8.58306884765625e-06,0.33203125,8.42624475993216
1,MOD_ADD,RANDOM,untrained-control,0,0.003,-9.510666131972523e-06,-2.574920654296875e-05,0.3359375,8.426250969991088
1,MOD_ADD,RANDOM,untrained-control,0,0.01,-3.3112242817866675e-05,-9.226799011230469e-05,0.33203125,8.426274571567774
1,MOD_ADD,RANDOM,untrained-control,0,0.02,-6.598420441149695e-05,-0.00018167495727535,0.3359375,8.426307443529367
