recruitment,input_family,rows,spearman_vs_full,auc_full_beneficial,sign_agreement_vs_full,top1_selection_accuracy,median_normalized_regret,family_pass,family_pass_count_at_recruitment
0.1,ALL,32256,0.718026454445014,0.9015149191342462,0.8565228174603174,0.2903645833333333,0.11410834131122305,0,0
0.1,REVERSE_INC,5376,0.6799539240060882,0.8822936150753873,0.8381696428571429,0.18359375,0.10591316751941812,0,0
0.1,MOD_ADD,5376,0.7025732408751116,0.8959636788811236,0.8407738095238095,0.21484375,0.09247222778571898,0,0
0.1,PARITY,5376,0.4406791439405467,0.9706928111888744,0.9739583333333334,0.6692708333333334,0.0,0,0
0.1,LOOKUP,5376,0.6057927732574593,0.8220266790665017,0.8922991071428571,0.3229166666666667,0.24318686268540685,0,0
0.1,DELAY_COPY,5376,0.7078742903178382,0.9026975646114499,0.7477678571428571,0.17838541666666666,0.2153314943264122,0,0
0.1,LOCAL_RULE,5376,0.6922468145220477,0.8846802702401638,0.8461681547619048,0.17317708333333334,0.13101672545013873,0,0
0.25,ALL,32256,0.8279927686867227,0.9433528172706162,0.8681175595238095,0.3283420138888889,0.06241959806327299,0,0
0.25,REVERSE_INC,5376,0.7819522140369325,0.9227510573077599,0.8502604166666666,0.24609375,0.06926647761988282,0,0
0.25,MOD_ADD,5376,0.8008275824403767,0.9335712257966544,0.8523065476190477,0.2877604166666667,0.051058330111054054,0,0
0.25,PARITY,5376,0.49980633909580785,0.9879351015444156,0.9886532738095238,0.6666666666666666,0.0,0,0
0.25,LOOKUP,5376,0.7872912651393571,0.903677254955589,0.8984375,0.3033854166666667,0.14682235761767454,0,0
0.25,DELAY_COPY,5376,0.8061087270355398,0.9498615431155514,0.7676711309523809,0.20963541666666666,0.14345327075564412,0,0
0.25,LOCAL_RULE,5376,0.793325798057749,0.9260368360125051,0.8513764880952381,0.2565104166666667,0.054121869207730655,0,0
0.5,ALL,32256,0.9301759004975854,0.9747541560910784,0.8958023313492064,0.5080295138888888,0.0,0,1
0.5,REVERSE_INC,5376,0.887676010680687,0.9581981557504108,0.8766741071428571,0.3880208333333333,0.012740749998657035,0,1
0.5,MOD_ADD,5376,0.8969962590732259,0.9656310920951898,0.8790922619047619,0.4088541666666667,0.01069793307776883,0,1
0.5,PARITY,5376,0.6357261354834257,1.0,1.0,0.9622395833333334,0.0,1,1
0.5,LOOKUP,5376,0.9164599459812747,0.9624449768143247,0.9073660714285714,0.48046875,0.004634291664322738,0,1
0.5,DELAY_COPY,5376,0.9006235374718786,0.9795592931823647,0.8396577380952381,0.4192708333333333,0.010196384091362979,0,1
0.5,LOCAL_RULE,5376,0.8857630754677412,0.9598347504192578,0.8720238095238095,0.3893229166666667,0.014110384289464137,0,1
