run,row,task,baseline_nll,ablated_nll,delta_nll,delta_token_accuracy
r0-C,6,REVERSE_ROTATE,1.4015273284912109,1.4234045948301042,0.0218772663388933,0.0116666666666667
r0-C,6,REVERSE_INC,1.3248998131070815,1.4219003016608105,0.0970004885537285,0.0266666666666666
r0-C,6,REVERSE_SWAP,1.3568428216661723,1.4061364139829362,0.0492935923167636,0.0149999999999999
r0-C,6,ROTATE_INC,1.1812919221605571,1.2695507717132568,0.0882588495526994,0.0716666666666666
r0-C,6,ROTATE_SWAP,1.3711977897371566,1.3739187914984567,0.0027210017613001,0.005
r0-C,6,INC_SWAP,1.1040582874843052,1.2121393047060285,0.1080810172217232,0.0616666666666666
r0-C,7,REVERSE,1.2596923998423986,1.3103054891313826,0.050613089288984,0.035
r0-C,7,ROTATE,1.1123122351510184,1.1595075287137713,0.0471952935627528,-0.0083333333333333
r0-C,7,INC,1.3806877313341412,1.5253081703186036,0.1446204389844623,0.0383333333333333
r0-C,7,SWAP,1.080627670288086,1.085785401889256,0.0051577316011701,-0.0199999999999999
r0-C,7,REVERSE_ROTATE,1.4015273284912109,1.4480669110161917,0.0465395825249808,0.05
r0-C,7,REVERSE_INC,1.3248998131070815,1.4689001430783952,0.1440003299713135,0.065
r0-C,7,REVERSE_SWAP,1.3568428216661723,1.4149346467426844,0.0580918250765118,0.0483333333333332
r0-C,7,ROTATE_INC,1.1812919221605571,1.358676859310695,0.1773849371501377,0.1299999999999999
r0-C,7,ROTATE_SWAP,1.3711977897371566,1.4307025711877006,0.059504781450544,0.0266666666666666
r0-C,7,INC_SWAP,1.1040582874843052,1.2813346781049455,0.1772763906206402,0.1233333333333333
r1-A,1,REVERSE,0.9500566877637592,1.1015000826971872,0.1514433949334281,0.0466666666666666
r1-A,1,ROTATE,0.7719445099149431,0.922106157711574,0.1501616477966308,0.0533333333333333
r1-A,1,INC,1.236631940773555,1.3437914841515677,0.1071595433780123,0.0383333333333333
r1-A,1,SWAP,0.8006927643503462,1.002050542150225,0.2013577777998788,0.0883333333333333
r1-A,1,REVERSE_ROTATE,1.1029923411778042,1.2600626843316214,0.1570703431538171,0.0883333333333332
r1-A,1,REVERSE_INC,1.0678892207145692,1.219908399922507,0.1520191792079379,0.0883333333333333
r1-A,1,REVERSE_SWAP,1.083814995629447,1.2497699342455182,0.1659549386160712,0.0683333333333333
r1-A,1,ROTATE_INC,0.8147636124065945,0.9707427535738264,0.1559791411672318,0.0666666666666666
r1-A,1,ROTATE_SWAP,1.0272706944601877,1.1947067240306308,0.1674360295704431,0.0683333333333333
r1-A,1,INC_SWAP,0.7054150516646249,0.923872959954398,0.218457908289773,0.1333333333333334
r1-A,2,REVERSE,0.9500566877637592,0.9512837369101388,0.0012270491463797,-0.0066666666666667
r1-A,2,ROTATE,0.7719445099149431,0.7728735647882734,0.0009290548733302,0.0016666666666667
r1-A,2,INC,1.236631940773555,1.238878926890237,0.0022469861166816,0.0033333333333332
r1-A,2,SWAP,0.8006927643503462,0.800404475416456,-0.0002882889338902,0.0
r1-A,2,REVERSE_ROTATE,1.1029923411778042,1.1067099925449917,0.0037176513671874,0.0116666666666666
r1-A,2,REVERSE_INC,1.0678892207145692,1.0691656286375864,0.0012764079230171,0.005
r1-A,2,REVERSE_SWAP,1.083814995629447,1.0876278035981315,0.0038128079686845,0.0066666666666667
r1-A,2,ROTATE_INC,0.8147636124065945,0.8160866580690657,0.0013230456624712,0.0033333333333332
r1-A,2,ROTATE_SWAP,1.0272706944601877,1.0282572855268206,0.0009865910666329,0.0033333333333332
r1-A,2,INC_SWAP,0.7054150516646249,0.707646233013698,0.002231181349073,0.0
r1-A,3,REVERSE,0.9500566877637592,0.9500203354018076,-3.635236195154157e-05,-0.0016666666666667
r1-A,3,ROTATE,0.7719445099149431,0.7722243979998997,0.0002798880849566,0.0
r1-A,3,INC,1.236631940773555,1.2367567825317385,0.0001248417581829,0.0
r1-A,3,SWAP,0.8006927643503462,0.8009466297285898,0.0002538653782435,0.0
r1-A,3,REVERSE_ROTATE,1.1029923411778042,1.1029923575265066,1.6348702391866254e-08,-0.0016666666666667
r1-A,3,REVERSE_INC,1.0678892207145692,1.067748362677438,-0.0001408580371311,0.0016666666666665
r1-A,3,REVERSE_SWAP,1.083814995629447,1.0837702066557748,-4.4788973672105215e-05,-0.0016666666666665
r1-A,3,ROTATE_INC,0.8147636124065945,0.8147959460530962,3.2333646501792046e-05,0.0
r1-A,3,ROTATE_SWAP,1.0272706944601877,1.027502600465502,0.0002319060053144,-0.0033333333333332
r1-A,3,INC_SWAP,0.7054150516646249,0.7056669882365636,0.0002519365719386,0.0
r1-A,4,REVERSE,0.9500566877637592,0.9500218217713492,-3.486599240987154e-05,0.0
