run,task,row,mean_activity
r0-C,INC,6,0.1907142969965934
r0-C,INC,7,0.1447619150206446
r0-C,SWAP,0,1.0
r0-C,SWAP,1,0.5650000447034835
r0-C,SWAP,2,0.2609523978829384
r0-C,SWAP,3,0.2038095380365848
r0-C,SWAP,4,0.243214301764965
r0-C,SWAP,5,0.3795238423347473
r0-C,SWAP,6,0.1979762026667595
r0-C,SWAP,7,0.1495238208025694
r0-C,REVERSE_ROTATE,0,1.0
r0-C,REVERSE_ROTATE,1,0.5808333757519722
r0-C,REVERSE_ROTATE,2,0.2595238290727139
r0-C,REVERSE_ROTATE,3,0.1960714420676231
r0-C,REVERSE_ROTATE,4,0.2420238251984119
r0-C,REVERSE_ROTATE,5,0.3879762202501297
r0-C,REVERSE_ROTATE,6,0.1983333446085453
r0-C,REVERSE_ROTATE,7,0.1352381029725075
r0-C,REVERSE_INC,0,1.0
r0-C,REVERSE_INC,1,0.5738095629215241
r0-C,REVERSE_INC,2,0.2527381114661693
r0-C,REVERSE_INC,3,0.1889285823702812
r0-C,REVERSE_INC,4,0.2505952571332455
r0-C,REVERSE_INC,5,0.3913095566630363
r0-C,REVERSE_INC,6,0.1928571543097496
r0-C,REVERSE_INC,7,0.1497619157284498
r0-C,REVERSE_SWAP,0,1.0
r0-C,REVERSE_SWAP,1,0.5717857539653778
r0-C,REVERSE_SWAP,2,0.2664285884797573
r0-C,REVERSE_SWAP,3,0.1989285838603973
r0-C,REVERSE_SWAP,4,0.2413095411658287
r0-C,REVERSE_SWAP,5,0.387857174873352
r0-C,REVERSE_SWAP,6,0.1994047753512859
r0-C,REVERSE_SWAP,7,0.1342857223004102
r0-C,ROTATE_INC,0,1.0
r0-C,ROTATE_INC,1,0.5907143312692642
r0-C,ROTATE_INC,2,0.2517857303470373
r0-C,ROTATE_INC,3,0.1907142973691225
r0-C,ROTATE_INC,4,0.2453571629524231
r0-C,ROTATE_INC,5,0.3910714596509933
r0-C,ROTATE_INC,6,0.1902381071448326
r0-C,ROTATE_INC,7,0.1401190579682588
r0-C,ROTATE_SWAP,0,1.0
r0-C,ROTATE_SWAP,1,0.5926190868020058
r0-C,ROTATE_SWAP,2,0.2582143020629883
r0-C,ROTATE_SWAP,3,0.1895238219201565
r0-C,ROTATE_SWAP,4,0.2390476340055465
r0-C,ROTATE_SWAP,5,0.3852381262183189
r0-C,ROTATE_SWAP,6,0.1934523929655552
r0-C,ROTATE_SWAP,7,0.1419047724828124
r0-C,INC_SWAP,0,1.0
r0-C,INC_SWAP,1,0.5875000393390656
r0-C,INC_SWAP,2,0.2600000151991844
r0-C,INC_SWAP,3,0.1940476320683956
r0-C,INC_SWAP,4,0.2470238280296325
r0-C,INC_SWAP,5,0.37261907979846
r0-C,INC_SWAP,6,0.1885714398324489
r0-C,INC_SWAP,7,0.1502381061762571
r1-A,REVERSE,0,1.0
r1-A,REVERSE,1,1.0
