replicate,stage,candidate,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,24,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,24,ARITH_A,ARITHMETIC,0,0.69911789894104,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,25,ARITH_A,ARITHMETIC,0,0.7287027835845947,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,25,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,25,ARITH_A,ARITHMETIC,0,0.7034090161323547,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,26,ARITH_A,ARITHMETIC,0,0.7230342626571655,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,26,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,26,ARITH_A,ARITHMETIC,0,0.6938724517822266,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,27,STORY,STORY,1,0.5546643137931824,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,27,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,27,STORY,STORY,2,0.0635508298873901,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,28,ARITH_A,ARITHMETIC,0,0.7247011065483093,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,28,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,28,ARITH_A,ARITHMETIC,0,0.6985264420509338,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,29,ARITH_A,ARITHMETIC,0,0.7286073565483093,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,29,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,29,ARITH_A,ARITHMETIC,0,0.7078146934509277,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,30,ARITH_A,ARITHMETIC,0,0.7259359955787659,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,30,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,30,ARITH_A,ARITHMETIC,0,0.700198769569397,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,31,STORY,STORY,1,0.9627867937088012,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,31,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,31,STORY,STORY,2,0.7069065570831299,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,32,ARITH_A,ARITHMETIC,0,0.7181955575942993,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,32,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,32,ARITH_A,ARITHMETIC,0,0.6964746713638306,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,33,ARITH_A,ARITHMETIC,0,0.7267057299613953,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,33,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,33,ARITH_A,ARITHMETIC,0,0.7018564343452454,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,34,ARITH_A,ARITHMETIC,0,0.7306936383247375,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,34,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,34,ARITH_A,ARITHMETIC,0,0.705579936504364,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,35,STORY,STORY,1,0.1055619120597839,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,35,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,35,STORY,STORY,1,0.1826745271682739,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,36,STORY,STORY,1,0.2955308556556701,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,36,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,36,STORY,STORY,1,0.1189264059066772,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,37,STORY,STORY,1,0.8736122846603394,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,37,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,37,STORY,STORY,1,0.0813033580780029,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,38,STORY,STORY,1,0.1774263381958007,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,38,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,38,STORY,STORY,1,0.0254074335098266,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,39,STORY,STORY,1,0.3603733777999878,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,39,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,39,STORY,STORY,1,0.5283259153366089,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,40,ARITH_A,ARITHMETIC,0,0.7311800122261047,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,40,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,40,ARITH_A,ARITHMETIC,0,0.7100480794906616,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,41,ARITH_A,ARITHMETIC,0,0.7311006188392639,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,41,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,41,ARITH_A,ARITHMETIC,0,0.7036086916923523,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,42,ARITH_A,ARITHMETIC,0,0.7284870743751526,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,42,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,42,ARITH_A,ARITHMETIC,0,0.7041932344436646,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,43,STORY,STORY,1,0.4291067719459533,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,43,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,43,STORY,STORY,2,0.2954519987106323,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,44,ARITH_A,ARITHMETIC,0,0.7243651151657104,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,44,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,44,ARITH_A,ARITHMETIC,0,0.6943454146385193,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,45,ARITH_A,ARITHMETIC,0,0.7272462844848633,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,45,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,45,ARITH_A,ARITHMETIC,0,0.7008754014968872,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,46,STORY,STORY,1,0.4116060733795166,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,46,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,46,STORY,STORY,2,0.167606234550476,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,47,STORY,STORY,1,0.8956806659698486,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,47,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,47,STORY,STORY,1,0.0971242189407348,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,48,ARITH_A,ARITHMETIC,0,0.7301124930381775,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,48,ARITH_A,ARITHMETIC,0,,1
