run,replicate,topology,variant,random_depth,stability_weight,step,consumed_tokens,train_loss,main_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
1d-r2-F,2,1d,F,False,0.1,2000,2000000,3.83224892616272,3.823749542236328,0.0849928483366966,0.0,1.8328176736831665,62.57631856899684,31960.972548981037,31.28815928449842,12.0,1.0,3.836100031932195,46.34437993605893,49152,1170816,159044608
1d-r2-H,2,1d,H,True,0.1,250,250000,5.190468311309815,5.174329280853272,0.1613896638154983,0.0002954100398908,1.023707628250122,7.02506107700151,35586.87921140565,28.10024430800604,9.176,0.7646666666666667,5.115302373965581,166.55113409708858,49152,1170816,158716928
1d-r2-H,2,1d,H,True,0.1,500,500000,4.610550880432129,4.601627826690674,0.089228831231594,0.0002683710764094,1.8910138607025144,13.430498190003163,37228.70089600766,26.860996380006327,9.15,0.7625000000000001,4.427054166793823,83.68453277357405,49152,1170816,158716928
1d-r2-H,2,1d,H,True,0.1,1000,1000000,3.9175426959991455,3.894999504089356,0.2254317700862884,0.0001623869018208,1.6569114923477173,26.22608711700218,38129.97324147937,26.22608711700218,9.147,0.76225,4.021093795696895,55.76206478890891,49152,1170816,158716928
1d-r2-H,2,1d,H,True,0.1,2000,2000000,3.86729907989502,3.85562801361084,0.1167104467749595,0.0,1.836706519126892,50.9462267929996,39257.0780192659,25.4731133964998,9.0505,0.7542083333333333,3.850322797894478,47.00823494201185,49152,1170816,158716928
1d-r3-A,3,1d,A,False,0.0,250,250000,5.1636152267456055,5.1636152267456055,,0.0002954100398908,1.2157851457595823,7.950057366003421,31446.31396863463,31.80022946401368,12.0,1.0,5.10997552673022,165.66630042805326,49152,1170816,157502464
1d-r3-A,3,1d,A,False,0.0,500,500000,4.581826210021973,4.581826210021973,,0.0002683710764094,1.7305573225021362,15.261401166002088,32762.39151054183,30.522802332004176,12.0,1.0,4.448540319999059,85.50204724132696,49152,1170816,157502464
1d-r3-A,3,1d,A,False,0.0,1000,1000000,4.3376336097717285,4.3376336097717285,,0.0001623869018208,1.8532958030700684,29.713209715001994,33655.06485471029,29.713209715001994,12.0,1.0,4.049753939112027,57.38333551364779,49152,1170816,157502464
1d-r3-A,3,1d,A,False,0.0,2000,2000000,4.030612468719482,4.030612468719482,,0.0,2.046860694885254,58.95243260200505,33925.65686817778,29.476216301002523,12.0,1.0,3.884516929586729,48.64343857695605,49152,1170816,157502464
1d-r3-B,3,1d,B,True,0.0,250,250000,5.248271942138672,5.248271942138672,0.1410618424415588,0.0002954100398908,1.5327879190444946,6.954933828000549,35945.705046610296,27.819735312002194,8.984,0.7486666666666667,5.201564838488896,181.5561257144557,49152,1170816,158716928
1d-r3-B,3,1d,B,True,0.0,500,500000,4.635518550872803,4.635518550872803,0.2521703541278839,0.0002683710764094,1.8235280513763428,13.186412197000209,37917.81968667304,26.372824394000418,9.038,0.7531666666666667,4.496211141347885,89.67671441671939,49152,1170816,158716928
1d-r3-B,3,1d,B,True,0.0,1000,1000000,4.383437156677246,4.383437156677246,0.23285573720932,0.0001623869018208,1.8075251579284668,25.486750141002176,39236.07342904169,25.486750141002176,9.03,0.7525,4.088619510332744,59.65747829943973,49152,1170816,158716928
1d-r3-B,3,1d,B,True,0.0,2000,2000000,4.047408103942871,4.047408103942871,0.1744339913129806,0.0,1.8527419567108157,50.94008759100166,39261.80920727924,25.47004379550083,9.034,0.7528333333333334,3.9180986285209656,50.30470585630451,49152,1170816,158716928
