replicate,arm,family,parent,newborn_cells,newborn_count,edges,base_skill_nll,donor_skill_nll,skill_improvement,ablated_skill_nll,tissue_causal_fraction,recipient_skill_nll,transplant_recovery,base_language_nll,donor_language_nll,language_retention_ratio,ablated_language_nll,recipient_language_nll,base_memory_drift,elapsed_seconds,autonomous_structure_updates
0,three-cell-chain,DELAY_COPY,3,"[7, 8, 9]",3,20,8.3984877041408,7.484140191759382,0.9143475123814184,8.3984877041408,1.0,7.484140191759382,1.0,4.638154059648514,6.486803501844406,1.3985743936966133,4.638154059648514,6.486803501844406,0.0,7.104603116999897,0
0,three-cell-chain,LOCAL_RULE,3,"[7, 8, 9]",3,20,8.587302139827184,7.518326010022845,1.068976129804339,8.587302139827184,1.0,7.518326010022845,1.0,4.638154059648514,6.489252418279648,1.399102387463907,4.638154059648514,6.489252418279648,0.0,6.892863271999886,0
1,one-cell,REVERSE_INC,2,[7],1,16,8.333349977220808,7.383677618844168,0.9496723583766392,8.333349977220808,1.0,7.383677618844168,1.0,4.582965970039368,6.544451981782913,1.4279948890230787,4.582965970039368,6.544451981782913,0.0,6.928654095000184,0
1,one-cell,MOD_ADD,2,[7],1,16,8.282119682856969,7.396459306989398,0.8856603758675714,8.282119682856969,1.0,7.396459306989398,1.0,4.582965970039368,6.549675464630127,1.4291346493619863,4.582965970039368,6.549675464630127,0.0,6.532684218000213,0
1,one-cell,PARITY,2,[7],1,16,12.050467354910714,6.278298922947475,5.772168431963238,12.050467354910714,1.0,6.278298922947475,1.0,4.582965970039368,6.806943655014038,1.485270390291719,4.582965970039368,6.806943655014038,0.0,6.820286155999838,0
1,one-cell,LOOKUP,2,[7],1,16,8.21724694115775,5.845297268458775,2.3719496726989755,8.21724694115775,1.0,5.845297268458775,1.0,4.582965970039368,6.6302977204322815,1.44672636973024,4.582965970039368,6.6302977204322815,0.0,6.7477301469998565,0
1,one-cell,DELAY_COPY,2,[7],1,16,8.197708266122001,7.336926732744489,0.8607815333775122,8.197708266122001,1.0,7.336926732744489,1.0,4.582965970039368,6.54529282450676,1.4281783603229623,4.582965970039368,6.54529282450676,0.0,6.97924541600014,0
1,one-cell,LOCAL_RULE,2,[7],1,16,8.333607401166644,7.331445353371756,1.0021620477948874,8.333607401166644,1.0,7.331445353371756,1.0,4.582965970039368,6.554827004671097,1.4302587118304069,4.582965970039368,6.554827004671097,0.0,6.897362979999798,0
1,three-cell-chain,REVERSE_INC,2,"[7, 8, 9]",3,20,8.333349977220808,7.3847101756504605,0.948639801570347,8.333349977220808,1.0,7.3847101756504605,1.0,4.582965970039368,6.444508284330368,1.4061872434708498,4.582965970039368,6.444508284330368,0.0,6.910955681999894,0
1,three-cell-chain,MOD_ADD,2,"[7, 8, 9]",3,20,8.282119682856969,7.395876339503697,0.8862433433532724,8.282119682856969,1.0,7.395876339503697,1.0,4.582965970039368,6.502557337284088,1.4188535066142398,4.582965970039368,6.502557337284088,0.0,7.061812543999622,0
1,three-cell-chain,PARITY,2,"[7, 8, 9]",3,20,12.050467354910714,6.271914482116699,5.778552872794014,12.050467354910714,1.0,6.271914482116699,1.0,4.582965970039368,6.717527359724045,1.465759816598931,4.582965970039368,6.717527359724045,0.0,7.094949864000228,0
1,three-cell-chain,LOOKUP,2,"[7, 8, 9]",3,20,8.21724694115775,5.844092982155936,2.3731539590018143,8.21724694115775,1.0,5.844092982155936,1.0,4.582965970039368,6.5742252469062805,1.4344913948487834,4.582965970039368,6.5742252469062805,0.0,6.880582771000263,0
1,three-cell-chain,DELAY_COPY,2,"[7, 8, 9]",3,20,8.197708266122001,7.334121431623187,0.8635868344988147,8.197708266122001,1.0,7.334121431623187,1.0,4.582965970039368,6.49316930770874,1.4168050450640732,4.582965970039368,6.49316930770874,0.0,7.10186232399974,0
