replicate,step,stage,subphase,active_k_before,active_k_after,selected_k,selected_cluster_purity_posthoc,candidate_k,candidate_stable_evaluations,candidate_last_stability,shadow_loss,k1_normalized_residual,k1_objective,k1_min_fraction,k2_normalized_residual,k2_objective,k2_min_fraction,k3_normalized_residual,k3_objective,k3_min_fraction,k4_normalized_residual,k4_objective,k4_min_fraction
1,384,B_EMERGING_MATH,math-30,1,1,1,0.7604166666666666,0,0,0.0,5.460676670074463,1.0,1.0,1.0,0.7954853224868128,1000000.0,0.4166666567325592,0.7087199425798927,1000000.0,0.25,0.6856516414071903,1000000.0,0.0833333358168602
1,416,B_EMERGING_MATH,math-30,1,1,1,0.7291666666666666,0,0,0.0,5.47507381439209,1.0,1.0,1.0,0.7598036374823647,1000000.0,0.4270833432674408,0.6683148956942911,1000000.0,0.2708333432674408,0.642994135638944,1000000.0,0.1770833283662796
1,448,B_EMERGING_MATH,math-30,1,1,1,0.6979166666666666,0,0,0.0,7.760739326477051,1.0,1.0,1.0,0.7510286467882951,1000000.0,0.3958333432674408,0.6526251492260214,1000000.0,0.3020833432674408,0.6438782196630074,1000000.0,0.1041666641831398
1,480,B_EMERGING_MATH,math-50,1,1,1,0.6458333333333334,0,0,0.0,7.741549968719482,1.0,1.0,1.0,0.7303955774455141,1000000.0,0.40625,0.6268965304929346,1000000.0,0.28125,0.6133027028448754,1000000.0,0.125
1,512,B_EMERGING_MATH,math-50,1,1,1,0.5104166666666666,0,0,0.0,7.785929679870605,1.0,1.0,1.0,0.6711710031571702,1000000.0,0.3958333432674408,0.5829368543691507,1000000.0,0.21875,0.5716871266350468,1000000.0,0.1458333283662796
1,544,B_EMERGING_MATH,math-50,1,1,1,0.53125,0,0,0.0,7.729795932769775,1.0,1.0,1.0,0.6648524263160047,1000000.0,0.40625,0.5820321348184393,1000000.0,0.1458333283662796,0.5618616451403569,1000000.0,0.0520833320915699
1,576,B_EMERGING_MATH,math-50,1,1,1,0.5104166666666666,0,0,0.0,5.529356002807617,1.0,1.0,1.0,0.6932312947250954,1000000.0,0.4270833432674408,0.6655929105810341,1000000.0,0.1041666641831398,0.5322286034749043,1000000.0,0.09375
1,608,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.5208333333333334,0,0,0.0,7.687487602233887,1.0,1.0,1.0,0.6940740962219972,1000000.0,0.4791666567325592,0.5954259603941576,1000000.0,0.1770833283662796,0.5470009581545225,1000000.0,0.125
1,640,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.5208333333333334,0,0,0.0,7.777379989624023,1.0,1.0,1.0,0.6730290166764669,1000000.0,0.4479166567325592,0.5871903349941482,1000000.0,0.2083333283662796,0.5371565787153759,1000000.0,0.0833333358168602
1,672,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.65625,0,0,0.0,7.787912368774414,1.0,1.0,1.0,0.6197401800344701,1000000.0,0.3333333432674408,0.533242773009046,1000000.0,0.125,0.5042065361961006,1000000.0,0.020833333954215
1,704,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.71875,0,0,0.0,7.761809825897217,1.0,1.0,1.0,0.623328520779583,1000000.0,0.2708333432674408,0.5244523765399606,1000000.0,0.125,0.5062510848004125,1000000.0,0.0104166669771075
1,736,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.78125,0,0,0.0,7.67283821105957,1.0,1.0,1.0,0.5887797925839342,1000000.0,0.1770833283662796,0.4827092424480428,1000000.0,0.0520833320915699,0.4500765693796969,1000000.0,0.0104166669771075
1,768,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.6770833333333334,0,0,0.0,7.775115013122559,1.0,1.0,1.0,0.6276324032470141,1000000.0,0.3020833432674408,0.5421960967874947,1000000.0,0.09375,0.4947711623100024,1000000.0,0.0416666679084301
1,800,D_THIRD_MODE,three-way,1,1,1,0.59375,0,0,0.0,8.11219310760498,1.0,1.0,1.0,0.6061818555814376,1000000.0,0.3333333432674408,0.538463384468392,1000000.0,0.1354166716337204,0.5183099084905165,1000000.0,0.0104166669771075
1,832,D_THIRD_MODE,three-way,1,1,1,0.4166666666666667,0,0,0.0,7.743259906768799,1.0,1.0,1.0,0.6543170609909882,1000000.0,0.3229166567325592,0.5804075206344285,1000000.0,0.15625,0.5078098516966173,1000000.0,0.09375
1,864,D_THIRD_MODE,three-way,1,1,1,0.34375,0,0,0.0,5.568424701690674,1.0,1.0,1.0,0.6422815300716594,1000000.0,0.3229166567325592,0.5923226590182045,1000000.0,0.0416666679084301,0.5171929475270987,1000000.0,0.0416666679084301
1,896,D_THIRD_MODE,three-way,1,1,1,0.3333333333333333,0,0,0.0,5.612900733947754,1.0,1.0,1.0,0.6646068936321536,1000000.0,0.3229166567325592,0.6229825464580104,1000000.0,0.03125,0.5494873884444306,1000000.0,0.0520833320915699
1,928,D_THIRD_MODE,three-way,1,1,1,0.3333333333333333,0,0,0.0,7.722738265991211,1.0,1.0,1.0,0.6796745179112319,1000000.0,0.3229166567325592,0.6224810244053653,1000000.0,0.0416666679084301,0.5903850680111695,1000000.0,0.020833333954215
1,960,D_THIRD_MODE,three-way,1,1,1,0.3333333333333333,0,0,0.0,8.184894561767578,1.0,1.0,1.0,0.6753477965144155,1000000.0,0.3125,0.6354860991207818,1000000.0,0.15625,0.5421844236358028,1000000.0,0.0729166641831398
1,992,D_THIRD_MODE,three-way,1,1,1,0.3854166666666667,0,0,0.0,5.426522254943848,1.0,1.0,1.0,0.6789600615805705,1000000.0,0.3541666567325592,0.6285465144711645,1000000.0,0.0520833320915699,0.5805188679063645,1000000.0,0.0520833320915699
1,1024,D_THIRD_MODE,three-way,1,1,1,0.3854166666666667,0,0,0.0,8.156439781188965,1.0,1.0,1.0,0.6505932907265586,1000000.0,0.375,0.5973718113286971,1000000.0,0.1354166716337204,0.541590363784008,1000000.0,0.09375
1,1056,D_THIRD_MODE,three-way,1,1,1,0.3541666666666667,0,0,0.0,7.822061061859131,1.0,1.0,1.0,0.6389740543726414,1000000.0,0.3229166567325592,0.5663994933262088,1000000.0,0.1145833358168602,0.5337827502342066,1000000.0,0.0416666679084301
1,1088,D_THIRD_MODE,three-way,1,1,1,0.3645833333333333,0,0,0.0,7.6767730712890625,1.0,1.0,1.0,0.6514356821907308,1000000.0,0.28125,0.5983212588077874,1000000.0,0.125,0.5408436654084521,1000000.0,0.0729166641831398
1,1120,D_THIRD_MODE,three-way,1,1,1,0.3958333333333333,0,0,0.0,7.763226985931396,1.0,1.0,1.0,0.65409444198736,1000000.0,0.1770833283662796,0.5674859985277508,1000000.0,0.0625,0.5243827427480096,1000000.0,0.020833333954215
1,1152,D_THIRD_MODE,three-way,1,1,1,0.3541666666666667,0,0,0.0,5.647454261779785,1.0,1.0,1.0,0.665909702583018,1000000.0,0.2395833283662796,0.6178567524631567,1000000.0,0.03125,0.5454569568244525,1000000.0,0.03125
2,96,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.540418148040772,1.0,1.0,1.0,0.8228711512930602,1000000.0,0.3958333432674408,0.7919489182305706,1000000.0,0.1875,0.742206590312223,1000000.0,0.1666666716337204
2,128,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.37148380279541,1.0,1.0,1.0,0.8091608000063465,1000000.0,0.46875,0.7736485247998878,1000000.0,0.2395833283662796,0.7395449161200837,1000000.0,0.0729166641831398
2,160,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.523118019104004,1.0,1.0,1.0,0.8028453835842211,1000000.0,0.4791666567325592,0.7400809473276132,1000000.0,0.2604166567325592,0.7112742055746882,1000000.0,0.1145833358168602
2,192,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.578495025634766,1.0,1.0,1.0,0.8080114662106416,1000000.0,0.4895833432674408,0.7701453725548848,1000000.0,0.1979166716337204,0.7359707082628909,1000000.0,0.1875
2,224,B_EMERGING_MATH,math-10,1,1,1,0.9479166666666666,0,0,0.0,5.568880081176758,1.0,1.0,1.0,0.7850074332694288,1000000.0,0.4479166567325592,0.7580501520342138,1000000.0,0.09375,0.7037805640477164,1000000.0,0.0833333358168602
2,256,B_EMERGING_MATH,math-10,1,1,1,0.9166666666666666,0,0,0.0,5.490379810333252,1.0,1.0,1.0,0.7767976282025805,1000000.0,0.3958333432674408,0.7256408624136176,1000000.0,0.1979166716337204,0.7092005936420142,1000000.0,0.0416666679084301
2,288,B_EMERGING_MATH,math-10,1,1,1,0.8854166666666666,0,0,0.0,5.565052032470703,1.0,1.0,1.0,0.7762541051917362,1000000.0,0.34375,0.6870801430593659,1000000.0,0.2604166567325592,0.6549201467799393,1000000.0,0.1041666641831398
2,320,B_EMERGING_MATH,math-10,1,1,1,0.9166666666666666,0,0,0.0,5.664370536804199,1.0,1.0,1.0,0.7829378326463876,1000000.0,0.3958333432674408,0.6955880676098622,1000000.0,0.2916666567325592,0.6780044378577917,1000000.0,0.0416666679084301
2,352,B_EMERGING_MATH,math-30,1,1,1,0.875,0,0,0.0,5.529730796813965,1.0,1.0,1.0,0.7953348218412881,1000000.0,0.3958333432674408,0.7144828247021817,1000000.0,0.21875,0.6889886267555071,1000000.0,0.09375
2,384,B_EMERGING_MATH,math-30,1,1,1,0.8125,0,0,0.0,7.788692474365234,1.0,1.0,1.0,0.75210994768353,1000000.0,0.4166666567325592,0.6961592067510085,1000000.0,0.2291666716337204,0.6497388554518871,1000000.0,0.0625
2,416,B_EMERGING_MATH,math-30,1,1,1,0.7395833333333334,0,0,0.0,5.396459579467773,1.0,1.0,1.0,0.7439723223566571,1000000.0,0.4375,0.6444904357940694,1000000.0,0.3020833432674408,0.6121889419643806,1000000.0,0.0520833320915699
2,448,B_EMERGING_MATH,math-30,1,1,1,0.6770833333333334,0,0,0.0,5.467687606811523,1.0,1.0,1.0,0.6836110900163344,1000000.0,0.5,0.6009191257902631,1000000.0,0.2916666567325592,0.5692103803177295,1000000.0,0.1354166716337204
2,480,B_EMERGING_MATH,math-50,1,1,1,0.59375,0,0,0.0,7.764153480529785,1.0,1.0,1.0,0.6520712151169109,1000000.0,0.4375,0.5658820988785825,1000000.0,0.28125,0.5312668057535904,1000000.0,0.125
2,512,B_EMERGING_MATH,math-50,1,1,1,0.53125,0,0,0.0,7.723301887512207,1.0,1.0,1.0,0.632801349594282,1000000.0,0.34375,0.5256756749879773,1000000.0,0.2291666716337204,0.4942254972557741,1000000.0,0.0625
