replicate,stage,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,A_STORY_NULL,geometry-shadow,36,STORY,STORY,0,0.5134273767471313,0
0,A_STORY_NULL,incumbent,37,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,37,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,37,STORY,STORY,0,0.6910089254379272,0
0,A_STORY_NULL,incumbent,38,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,38,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,38,STORY,STORY,1,0.7307161092758179,0
0,A_STORY_NULL,incumbent,39,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,39,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,39,STORY,STORY,1,0.0295207500457763,0
0,A_STORY_NULL,incumbent,40,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,40,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,40,STORY,STORY,1,0.0340589880943298,0
0,A_STORY_NULL,incumbent,41,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,41,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,41,STORY,STORY,0,0.7906090021133423,0
0,A_STORY_NULL,incumbent,42,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,42,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,42,STORY,STORY,1,0.428491473197937,0
0,A_STORY_NULL,incumbent,43,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,43,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,43,STORY,STORY,0,0.0091419219970703,0
0,A_STORY_NULL,incumbent,44,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,44,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,44,STORY,STORY,0,0.924527108669281,0
0,A_STORY_NULL,incumbent,45,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,45,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,45,STORY,STORY,1,0.2379721403121948,0
0,A_STORY_NULL,incumbent,46,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,46,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,46,STORY,STORY,0,0.9657100439071656,0
0,A_STORY_NULL,incumbent,47,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,47,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,47,STORY,STORY,1,1.127556085586548,0
0,A_STORY_NULL,incumbent,48,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,48,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,48,STORY,STORY,0,0.4537540674209595,0
0,A_STORY_NULL,incumbent,49,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,49,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,49,STORY,STORY,0,0.1834661960601806,0
0,A_STORY_NULL,incumbent,50,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,50,STORY,STORY,1,,0
