replicate,stage,arm,window,step_end,prequential_nll
1,E_TRANSFORM_BIRTH,geometry-shadow,0,64,6.340621531009674
1,E_TRANSFORM_BIRTH,incumbent,1,128,6.363654971122742
1,E_TRANSFORM_BIRTH,capacity-shadow,1,128,6.363817386329174
1,E_TRANSFORM_BIRTH,geometry-shadow,1,128,6.289866626262665
1,E_TRANSFORM_BIRTH,incumbent,2,192,6.396613046526909
1,E_TRANSFORM_BIRTH,capacity-shadow,2,192,6.396698899567127
1,E_TRANSFORM_BIRTH,geometry-shadow,2,192,6.29658629745245
1,E_TRANSFORM_BIRTH,incumbent,3,256,6.323826476931572
1,E_TRANSFORM_BIRTH,capacity-shadow,3,256,6.323857493698597
1,E_TRANSFORM_BIRTH,geometry-shadow,3,256,6.251193225383759
2,A_STORY_NULL,incumbent,0,64,5.543376676738262
2,A_STORY_NULL,capacity-shadow,0,64,5.543880365788937
2,A_STORY_NULL,geometry-shadow,0,64,5.543521396815777
2,A_STORY_NULL,incumbent,1,128,5.533563576638699
2,A_STORY_NULL,capacity-shadow,1,128,5.533926464617252
2,A_STORY_NULL,geometry-shadow,1,128,5.534170128405094
2,A_STORY_NULL,incumbent,2,192,5.544530510902405
2,A_STORY_NULL,capacity-shadow,2,192,5.544693000614643
2,A_STORY_NULL,geometry-shadow,2,192,5.544106498360634
2,A_STORY_NULL,incumbent,3,256,5.547343119978905
2,A_STORY_NULL,capacity-shadow,3,256,5.547564759850502
2,A_STORY_NULL,geometry-shadow,3,256,5.547016724944115
2,B_ARITHMETIC_BIRTH,incumbent,0,64,6.4474058374762535
2,B_ARITHMETIC_BIRTH,capacity-shadow,0,64,6.459912657737732
2,B_ARITHMETIC_BIRTH,geometry-shadow,0,64,6.3537270948290825
2,B_ARITHMETIC_BIRTH,incumbent,1,128,6.282386250793934
2,B_ARITHMETIC_BIRTH,capacity-shadow,1,128,6.27978553622961
2,B_ARITHMETIC_BIRTH,geometry-shadow,1,128,6.234594985842705
2,B_ARITHMETIC_BIRTH,incumbent,2,192,6.387696228921413
2,B_ARITHMETIC_BIRTH,capacity-shadow,2,192,6.386126160621643
2,B_ARITHMETIC_BIRTH,geometry-shadow,2,192,6.295869067311287
2,B_ARITHMETIC_BIRTH,incumbent,3,256,6.421752139925957
2,B_ARITHMETIC_BIRTH,capacity-shadow,3,256,6.42650879919529
2,B_ARITHMETIC_BIRTH,geometry-shadow,3,256,6.311233721673489
