phase,step,cell,alive,activity,memory_norm,in_degree,out_degree,parent,birth_step,replicate,variant
language,750,5,1,0.0770729780197143,0.2029076963663101,1,1,1,700,0,G
language,1000,0,1,2.690780639648437,0.1685298979282379,3,1,0,0,0,G
language,1000,1,1,0.0088621908798813,0.2016101777553558,5,5,1,0,0,G
language,1000,2,1,0.0949771255254745,0.176994040608406,2,2,2,0,0,G
language,1000,3,1,0.0301610194146633,0.1683848202228546,1,2,3,0,0,G
language,1000,4,1,0.0518496558070182,0.2019791305065155,1,2,1,400,0,G
language,1000,5,1,0.0592416487634182,0.2024433314800262,1,1,1,700,0,G
language,1000,6,1,0.0641277879476547,0.1993677914142608,1,1,1,900,0,G
language,100,0,1,2.945533275604248,0.1880659908056259,1,1,0,0,1,F
language,100,1,1,0.0114385392516851,0.2037338763475418,2,2,1,0,1,F
language,100,2,1,0.0175658725202083,0.190109983086586,2,2,2,0,1,F
language,100,3,1,0.0254623237997293,0.1947346776723861,1,1,3,0,1,F
language,250,0,1,2.9255828857421875,0.1789265424013137,1,1,0,0,1,F
language,250,1,1,0.0404048338532447,0.1939253360033035,2,2,1,0,1,F
language,250,2,1,0.0176481828093528,0.1853131800889969,2,2,2,0,1,F
language,250,3,1,0.0163642168045043,0.1754883825778961,1,1,3,0,1,F
language,500,0,1,2.940580368041992,0.1749370694160461,1,1,0,0,1,F
language,500,1,1,0.0193640179932117,0.1876253634691238,2,2,1,0,1,F
language,500,2,1,0.0196881238371133,0.1827320158481598,2,2,2,0,1,F
language,500,3,1,0.0203673988580703,0.1755144298076629,1,1,3,0,1,F
language,750,0,1,2.6421608924865723,0.1736353635787964,1,1,0,0,1,F
language,750,1,1,0.1427781283855438,0.1860048174858093,2,2,1,0,1,F
language,750,2,1,0.1220031231641769,0.1817249655723571,2,2,2,0,1,F
language,750,3,1,0.0930580124258995,0.1767612844705581,1,1,3,0,1,F
language,1000,0,1,2.6858127117156982,0.1735725700855255,1,1,0,0,1,F
language,1000,1,1,0.1250608414411544,0.1856752187013626,2,2,1,0,1,F
