run,task,receiver,source,mean_weight
r0-D,SWAP,5,6,0.0786249041557312
r0-D,SWAP,5,7,0.0187591575086116
r0-D,SWAP,6,0,0.0236884020268917
r0-D,SWAP,6,1,0.0156307183206081
r0-D,SWAP,6,2,0.0213496163487434
r0-D,SWAP,6,3,0.01709377579391
r0-D,SWAP,6,4,0.0209243446588516
r0-D,SWAP,6,5,0.0774090737104415
r0-D,SWAP,6,6,0.0
r0-D,SWAP,6,7,0.0739040672779083
r0-D,SWAP,7,0,0.0380244217813015
r0-D,SWAP,7,1,0.0221681259572505
r0-D,SWAP,7,2,0.0237398725003004
r0-D,SWAP,7,3,0.0225248448550701
r0-D,SWAP,7,4,0.0217412058264017
r0-D,SWAP,7,5,0.0243724696338176
r0-D,SWAP,7,6,0.097429059445858
r0-D,SWAP,7,7,0.0
r0-D,REVERSE_ROTATE,0,0,0.0
r0-D,REVERSE_ROTATE,0,1,0.0924647077918052
r0-D,REVERSE_ROTATE,0,2,0.0248733926564455
r0-D,REVERSE_ROTATE,0,3,0.0237709209322929
r0-D,REVERSE_ROTATE,0,4,0.0261067729443311
r0-D,REVERSE_ROTATE,0,5,0.0251187067478895
r0-D,REVERSE_ROTATE,0,6,0.026260795071721
r0-D,REVERSE_ROTATE,0,7,0.031404722481966
r0-D,REVERSE_ROTATE,1,0,0.0893935933709144
r0-D,REVERSE_ROTATE,1,1,0.0
r0-D,REVERSE_ROTATE,1,2,0.0705906376242637
r0-D,REVERSE_ROTATE,1,3,0.0171470791101455
r0-D,REVERSE_ROTATE,1,4,0.0201199315488338
r0-D,REVERSE_ROTATE,1,5,0.0179576706141233
r0-D,REVERSE_ROTATE,1,6,0.0167915280908346
r0-D,REVERSE_ROTATE,1,7,0.017999529838562
r0-D,REVERSE_ROTATE,2,0,0.0238340832293033
r0-D,REVERSE_ROTATE,2,1,0.0697943195700645
r0-D,REVERSE_ROTATE,2,2,0.0
r0-D,REVERSE_ROTATE,2,3,0.0785126090049743
r0-D,REVERSE_ROTATE,2,4,0.0177359078079462
r0-D,REVERSE_ROTATE,2,5,0.0182806570082902
r0-D,REVERSE_ROTATE,2,6,0.0227244012057781
r0-D,REVERSE_ROTATE,2,7,0.0191180557012558
r0-D,REVERSE_ROTATE,3,0,0.0225535202771425
r0-D,REVERSE_ROTATE,3,1,0.0167252421379089
r0-D,REVERSE_ROTATE,3,2,0.0774228274822235
r0-D,REVERSE_ROTATE,3,3,0.0
r0-D,REVERSE_ROTATE,3,4,0.0776658058166503
r0-D,REVERSE_ROTATE,3,5,0.0198047254234552
r0-D,REVERSE_ROTATE,3,6,0.0179267432540655
r0-D,REVERSE_ROTATE,3,7,0.0179011542350053
r0-D,REVERSE_ROTATE,4,0,0.024020992219448
r0-D,REVERSE_ROTATE,4,1,0.0190578252077102
r0-D,REVERSE_ROTATE,4,2,0.0170188713818788
r0-D,REVERSE_ROTATE,4,3,0.0755411610007286
r0-D,REVERSE_ROTATE,4,4,0.0
r0-D,REVERSE_ROTATE,4,5,0.0761842802166938
r0-D,REVERSE_ROTATE,4,6,0.0213677026331424
r0-D,REVERSE_ROTATE,4,7,0.0168091692030429
r0-D,REVERSE_ROTATE,5,0,0.0230518039315938
r0-D,REVERSE_ROTATE,5,1,0.0169695634394884
r0-D,REVERSE_ROTATE,5,2,0.0174714215099811
r0-D,REVERSE_ROTATE,5,3,0.0191938262432813
r0-D,REVERSE_ROTATE,5,4,0.0758922398090362
r0-D,REVERSE_ROTATE,5,5,0.0
r0-D,REVERSE_ROTATE,5,6,0.0786784216761589
r0-D,REVERSE_ROTATE,5,7,0.0187427215278148
r0-D,REVERSE_ROTATE,6,0,0.0236843675374984
r0-D,REVERSE_ROTATE,6,1,0.0156217226758599
r0-D,REVERSE_ROTATE,6,2,0.0213742796331644
r0-D,REVERSE_ROTATE,6,3,0.0170855335891246
r0-D,REVERSE_ROTATE,6,4,0.0209870710968971
r0-D,REVERSE_ROTATE,6,5,0.0774522200226783
r0-D,REVERSE_ROTATE,6,6,0.0
r0-D,REVERSE_ROTATE,6,7,0.073794811964035
r0-D,REVERSE_ROTATE,7,0,0.0374502055346965
r0-D,REVERSE_ROTATE,7,1,0.0222040992230176
r0-D,REVERSE_ROTATE,7,2,0.0238365717232227
r0-D,REVERSE_ROTATE,7,3,0.0225839372724294
r0-D,REVERSE_ROTATE,7,4,0.021803667768836
r0-D,REVERSE_ROTATE,7,5,0.0244444794952869
r0-D,REVERSE_ROTATE,7,6,0.0976770371198654
r0-D,REVERSE_ROTATE,7,7,0.0
r0-D,REVERSE_INC,0,0,0.0
r0-D,REVERSE_INC,0,1,0.0992536544799804
r0-D,REVERSE_INC,0,2,0.0226498525589704
r0-D,REVERSE_INC,0,3,0.0254666730761528
r0-D,REVERSE_INC,0,4,0.026018613949418
r0-D,REVERSE_INC,0,5,0.0252593476325273
r0-D,REVERSE_INC,0,6,0.0218611769378185
r0-D,REVERSE_INC,0,7,0.0294906999915838
r0-D,REVERSE_INC,1,0,0.090655893087387
r0-D,REVERSE_INC,1,1,0.0
r0-D,REVERSE_INC,1,2,0.069941833615303
r0-D,REVERSE_INC,1,3,0.0172592401504516
r0-D,REVERSE_INC,1,4,0.0194689221680164
r0-D,REVERSE_INC,1,5,0.0179749019443988
r0-D,REVERSE_INC,1,6,0.0167586337774992
r0-D,REVERSE_INC,1,7,0.0179406255483627
r0-D,REVERSE_INC,2,0,0.0208359900861978
r0-D,REVERSE_INC,2,1,0.0704228281974792
r0-D,REVERSE_INC,2,2,0.0
r0-D,REVERSE_INC,2,3,0.0810626521706581
r0-D,REVERSE_INC,2,4,0.0179184265434741
r0-D,REVERSE_INC,2,5,0.0183424111455678
r0-D,REVERSE_INC,2,6,0.0223166290670633
r0-D,REVERSE_INC,2,7,0.0191010721027851
r0-D,REVERSE_INC,3,0,0.0225632674992084
r0-D,REVERSE_INC,3,1,0.0166938789188861
r0-D,REVERSE_INC,3,2,0.0778475925326347
r0-D,REVERSE_INC,3,3,0.0
r0-D,REVERSE_INC,3,4,0.0773747712373733
r0-D,REVERSE_INC,3,5,0.0197631772607564
r0-D,REVERSE_INC,3,6,0.0177426841109991
r0-D,REVERSE_INC,3,7,0.0180146675556898
r0-D,REVERSE_INC,4,0,0.0228269528597593
r0-D,REVERSE_INC,4,1,0.0186860673129558
r0-D,REVERSE_INC,4,2,0.0170968808233737
r0-D,REVERSE_INC,4,3,0.0768491700291633
r0-D,REVERSE_INC,4,4,0.0
r0-D,REVERSE_INC,4,5,0.0767265483736991
r0-D,REVERSE_INC,4,6,0.0206976979970932
r0-D,REVERSE_INC,4,7,0.0171166472136974
r0-D,REVERSE_INC,5,0,0.0221863128244876
r0-D,REVERSE_INC,5,1,0.0172719005495309
r0-D,REVERSE_INC,5,2,0.0175082217901945
r0-D,REVERSE_INC,5,3,0.0196459181606769
r0-D,REVERSE_INC,5,4,0.0767666175961494
r0-D,REVERSE_INC,5,5,0.0
r0-D,REVERSE_INC,5,6,0.0774626806378364
r0-D,REVERSE_INC,5,7,0.0191583652049303
r0-D,REVERSE_INC,6,0,0.0194822959601879
r0-D,REVERSE_INC,6,1,0.0163287296891212
r0-D,REVERSE_INC,6,2,0.0215841121971607
r0-D,REVERSE_INC,6,3,0.0178626589477062
r0-D,REVERSE_INC,6,4,0.0210144035518169
r0-D,REVERSE_INC,6,5,0.0785292014479637
r0-D,REVERSE_INC,6,6,0.0
r0-D,REVERSE_INC,6,7,0.0751985758543014
r0-D,REVERSE_INC,7,0,0.0341096259653568
r0-D,REVERSE_INC,7,1,0.0227382760494947
r0-D,REVERSE_INC,7,2,0.0240450575947761
r0-D,REVERSE_INC,7,3,0.0235702879726886
r0-D,REVERSE_INC,7,4,0.0225535128265619
r0-D,REVERSE_INC,7,5,0.0252585764974355
r0-D,REVERSE_INC,7,6,0.0977246984839439
r0-D,REVERSE_INC,7,7,0.0
r0-D,REVERSE_SWAP,0,0,0.0
r0-D,REVERSE_SWAP,0,1,0.0932535529136657
r0-D,REVERSE_SWAP,0,2,0.0245220512151718
r0-D,REVERSE_SWAP,0,3,0.0235081482678651
r0-D,REVERSE_SWAP,0,4,0.0257042217999696
r0-D,REVERSE_SWAP,0,5,0.0250923447310924
r0-D,REVERSE_SWAP,0,6,0.0258930008858442
r0-D,REVERSE_SWAP,0,7,0.0320267044007778
