run,row,task,baseline_nll,ablated_nll,delta_nll
r0-D,5,INC,1.3447809042249408,1.4623352548054287,0.1175543505804879
r0-D,5,SWAP,1.0391920621054511,1.1335672221864972,0.0943751600810458
r0-D,5,REVERSE_ROTATE,1.2566336400168283,1.3726016480582102,0.1159680080413818
r0-D,5,REVERSE_INC,1.1870351321356638,1.3570449747358049,0.170009842600141
r0-D,5,REVERSE_SWAP,1.160793307168143,1.2876571335111346,0.1268638263429915
r0-D,5,ROTATE_INC,1.0754789338793074,1.2558017110824584,0.180322777203151
r0-D,5,ROTATE_SWAP,1.2407689952850345,1.3492790869304112,0.1085100916453769
r0-D,5,INC_SWAP,1.0462623160226003,1.2189642422539848,0.1727019262313844
r0-D,6,REVERSE,1.0451308175495693,1.136265400477818,0.0911345829282488
r0-D,6,ROTATE,0.9523684923989432,1.055231087548392,0.1028625951494489
r0-D,6,INC,1.3447809042249408,1.4548583153315953,0.1100774111066544
r0-D,6,SWAP,1.0391920621054511,1.1225908258983066,0.0833987637928552
r0-D,6,REVERSE_ROTATE,1.2566336400168283,1.337095445224217,0.0804618052073886
r0-D,6,REVERSE_INC,1.1870351321356638,1.3452874905722485,0.1582523584365844
r0-D,6,REVERSE_SWAP,1.160793307168143,1.251711204392569,0.0909178972244262
r0-D,6,ROTATE_INC,1.0754789338793074,1.2138165283203124,0.138337594441005
r0-D,6,ROTATE_SWAP,1.2407689952850345,1.3249530179159985,0.084184022630964
r0-D,6,INC_SWAP,1.0462623160226003,1.188780698776245,0.1425183827536447
r0-D,7,REVERSE,1.0451308175495693,1.081218547821045,0.0360877302714757
r0-D,7,ROTATE,0.9523684923989432,0.989417861529759,0.0370493691308158
r0-D,7,INC,1.3447809042249408,1.4050441837310792,0.0602632795061384
r0-D,7,SWAP,1.0391920621054511,1.0596731669562205,0.0204811048507689
r0-D,7,REVERSE_ROTATE,1.2566336400168283,1.2992668199539184,0.04263317993709
r0-D,7,REVERSE_INC,1.1870351321356638,1.2011321238109045,0.0140969916752404
r0-D,7,REVERSE_SWAP,1.160793307168143,1.210086340904236,0.0492930337360928
r0-D,7,ROTATE_INC,1.0754789338793074,1.1040947205679756,0.0286157866886682
r0-D,7,ROTATE_SWAP,1.2407689952850345,1.2790067529678344,0.0382377576828001
r0-D,7,INC_SWAP,1.0462623160226003,1.0992241443906512,0.0529618283680508
r1-D,1,REVERSE,1.1078253167016163,1.6238503469739642,0.5160250302723477
r1-D,1,ROTATE,0.9551480054855348,1.5726934494291034,0.6175454439435687
r1-D,1,INC,1.420607647895813,1.856253959110805,0.435646311214992
