run,task,row,mean_activity
r2-D,REVERSE_ROTATE,7,0.514611005783081
r2-D,REVERSE_INC,0,0.2777054607868194
r2-D,REVERSE_INC,1,0.3131627142429352
r2-D,REVERSE_INC,2,0.3875696957111358
r2-D,REVERSE_INC,3,0.372340053319931
r2-D,REVERSE_INC,4,0.3915610611438751
r2-D,REVERSE_INC,5,0.3677870631217956
r2-D,REVERSE_INC,6,0.3556599915027618
r2-D,REVERSE_INC,7,0.5342139601707458
r2-D,REVERSE_SWAP,0,0.3807797729969024
r2-D,REVERSE_SWAP,1,0.3042688071727752
r2-D,REVERSE_SWAP,2,0.3567818701267242
r2-D,REVERSE_SWAP,3,0.361431211233139
r2-D,REVERSE_SWAP,4,0.3810794055461883
r2-D,REVERSE_SWAP,5,0.3452431559562683
r2-D,REVERSE_SWAP,6,0.3581812381744385
r2-D,REVERSE_SWAP,7,0.5122348070144653
r2-D,ROTATE_INC,0,0.2544771432876587
r2-D,ROTATE_INC,1,0.3277330100536346
r2-D,ROTATE_INC,2,0.3976906239986419
r2-D,ROTATE_INC,3,0.3745197355747223
r2-D,ROTATE_INC,4,0.3933714926242828
r2-D,ROTATE_INC,5,0.3671660125255584
r2-D,ROTATE_INC,6,0.3501357138156891
r2-D,ROTATE_INC,7,0.5349063277244568
r2-D,ROTATE_SWAP,0,0.3736578226089477
r2-D,ROTATE_SWAP,1,0.3062732219696045
r2-D,ROTATE_SWAP,2,0.3639405369758606
r2-D,ROTATE_SWAP,3,0.3630984425544739
r2-D,ROTATE_SWAP,4,0.3826936781406402
r2-D,ROTATE_SWAP,5,0.3456191122531891
r2-D,ROTATE_SWAP,6,0.3575374484062195
r2-D,ROTATE_SWAP,7,0.5071796774864197
r2-D,INC_SWAP,0,0.2525663673877716
r2-D,INC_SWAP,1,0.3295193910598755
r2-D,INC_SWAP,2,0.3999785184860229
r2-D,INC_SWAP,3,0.3743707239627838
r2-D,INC_SWAP,4,0.3916260004043579
r2-D,INC_SWAP,5,0.367270290851593
r2-D,INC_SWAP,6,0.3475050330162048
r2-D,INC_SWAP,7,0.5371639728546143
