arm,step,cell_id,certificate_rank,update_norm,violation_norm,violation_ratio,eligible_for_ratio
sgd_no_decay_grad_projection,4,3,49,6.152847163320985e-06,9.008203250004954e-08,0.014640704614987277,True
sgd_no_decay_grad_projection,4,4,60,6.920938176335767e-06,1.1456495485617779e-07,0.016553382703882284,True
sgd_no_decay_grad_projection,4,5,53,1.0133568139281124e-05,9.030643610685729e-08,0.00891161197655416,True
sgd_no_decay_grad_projection,4,6,60,8.945083209255245e-06,9.838952763630004e-08,0.010999284672412473,True
sgd_no_decay_grad_projection,4,7,53,4.2469810068723746e-06,9.943413203927776e-08,0.023412892232266485,True
sgd_no_decay_grad_projection,5,0,58,1.0192078661930282e-05,1.0232236036245013e-07,0.010039399588353617,True
sgd_no_decay_grad_projection,5,1,60,1.2028472156089265e-05,1.0712323472716889e-07,0.008905804862933837,True
sgd_no_decay_grad_projection,5,2,60,1.0590581950964406e-05,9.831771308199677e-08,0.00928350342348659,True
sgd_no_decay_grad_projection,5,3,49,8.381231964449398e-06,8.908407522767448e-08,0.010628994040082362,True
sgd_no_decay_grad_projection,5,4,60,1.161912950919941e-05,1.1435240310220252e-07,0.009841734974201759,True
sgd_no_decay_grad_projection,5,5,53,2.265660441480577e-05,9.034202008706416e-08,0.003987447299939599,True
sgd_no_decay_grad_projection,5,6,60,1.1175193321832921e-05,9.80987095999808e-08,0.008778255373002851,True
sgd_no_decay_grad_projection,5,7,53,5.8635559980757535e-06,9.94285613842294e-08,0.01695703843534887,True
sgd_no_decay_grad_projection,6,0,58,1.076054741133703e-05,1.0194469979296628e-07,0.009473931615377525,True
sgd_no_decay_grad_projection,6,1,60,1.2353423699096311e-05,1.061250642919731e-07,0.008590740371755896,True
sgd_no_decay_grad_projection,6,2,60,1.0359143743698951e-05,9.804097800270029e-08,0.009464196169508554,True
sgd_no_decay_grad_projection,6,3,49,9.840880920819473e-06,9.060306638275506e-08,0.009206803527545054,True
sgd_no_decay_grad_projection,6,4,60,9.841744940786157e-06,1.1321466786284873e-07,0.011503514573940036,True
sgd_no_decay_grad_projection,6,5,53,1.636381057323888e-05,9.046462423611956e-08,0.005528334510039458,True
sgd_no_decay_grad_projection,6,6,60,1.3242284694570117e-05,9.784581322946906e-08,0.0073888915770477515,True
sgd_no_decay_grad_projection,6,7,53,5.745695943915052e-06,9.973446424282884e-08,0.017358114292549322,True
sgd_no_decay_grad_projection,7,0,58,1.3266654605104122e-05,1.0146015227974203e-07,0.007647756548433122,True
sgd_no_decay_grad_projection,7,1,60,1.5693945897510275e-05,1.0663033123137211e-07,0.006794360394343389,True
sgd_no_decay_grad_projection,7,2,60,1.2562049050757196e-05,9.795813582513802e-08,0.007797941850998552,True
sgd_no_decay_grad_projection,7,3,49,1.050131322699599e-05,8.966873821236732e-08,0.008538811073937171,True
sgd_no_decay_grad_projection,7,4,60,1.1341060599079356e-05,1.1321016302190401e-07,0.00998232502600058,True
sgd_no_decay_grad_projection,7,5,53,2.471964035066776e-05,8.970382481265915e-08,0.003628848151157984,True
sgd_no_decay_grad_projection,7,6,60,1.3888125067751389e-05,9.683020607553772e-08,0.00697215777010983,True
sgd_no_decay_grad_projection,7,7,53,7.120442660379922e-06,9.799120448406029e-08,0.013761952085838402,True
sgd_no_decay_grad_projection,8,0,58,1.390573106618831e-05,1.0100128378098816e-07,0.007263284183834671,True
